	WT_1	WT_2	XistKO_1	XistKO_2
Ankrd2	0	0	2	4
Pop4	1656	1450	1644	829
Carnmt1	14427	15562	15409	15277
Iqcm	2	0	0	0
Clcc1	2123	2008	2827	1964
Magea2	0	0	0	0
Ilf3	3017	2907	3514	2396
Tpd52l2	2772	2875	4292	3589
Arhgap25	0	0	0	0
Banf1	333	286	485	170
Tbc1d23	4153	3913	4218	3910
4930473A02Rik	0	2	2	0
Pard3	1884	1832	2029	1775
Rorc	2	0	1	0
Krtap4-6	0	0	0	0
1700017L05Rik	0	0	0	0
1700123J17Rik	0	0	0	0
Evi5l	20	16	17	3
Pex5l	0	0	0	0
Mtmr1	2342	2409	2559	2195
Mtor	521	448	862	536
Zfp758	3221	3806	3319	3487
Plekhh2	888	867	781	635
Adgrl3	1882	2027	3164	3110
Golga5	1139	1173	1537	1211
Plekhb1	0	0	0	0
Nufip1	2660	2018	3356	3271
Gm9866	0	0	0	0
Smap1	4378	4968	4953	4584
Tepp	0	0	0	0
Acox2	0	0	0	0
Hars2	869	771	998	736
Gpa33	0	1	0	0
Sdhb	317	277	557	283
Gmpr	1	1	16	7
Krt90	0	0	0	0
Me1	7625	8579	6858	6059
Klk11	0	0	0	0
Magt1	14377	13745	16358	15107
Mcam	742	682	56	32
Pbld1	289	259	399	129
Tab2	5042	5002	5389	4701
Mettl27	8	7	12	7
Trmt1	126	99	117	64
Vps37c	70	47	66	53
Sec23a	12232	13414	11205	10459
Rara	92	140	105	100
Med1	4768	4219	5404	4385
Ap5b1	0	6	2	1
Bag5	1071	1049	1132	1124
Pdcd2l	206	225	308	137
Ctcf	11860	11202	9497	9023
Mnd1	706	782	1485	1043
Tktl1	27	20	90	94
Lix1	40	44	44	28
Ctnnbl1	36	47	86	31
Snph	0	0	0	0
Raet1e	253	210	27	8
Ppm1m	155	133	229	79
Prkar1a	18970	19330	28824	28095
Slc27a3	2	7	1	0
Impdh2	1588	1185	2118	682
Tiprl	3691	3199	4512	4076
Uaca	603	494	1352	803
Smim31	2	2	2	0
Calca	0	0	0	0
Mir6402	3	2	0	0
Phf3	9274	8827	10958	9159
F930015N05Rik	1	0	0	2
9330020H09Rik	53	48	72	61
Gm13884	0	0	0	0
Gm7443	2	5	3	5
Ube2q2	8052	8019	8242	7457
Rfx3	1867	2355	1975	2149
Bri3	334	260	354	242
Fbxo27	0	1	0	0
Eps15l1	614	578	743	509
Tmprss15	0	0	0	0
Max	1718	1584	2159	1957
Ttc8	1302	1447	2484	2152
Vti1b	1940	1414	1934	1301
Cpsf3	807	552	1001	496
Nlgn1	0	1	1	0
Casq2	0	2	17	4
Pidd1	18	14	25	13
Asb4	23	18	0	6
Orc4	18492	19655	27479	26597
Mapkbp1	91	61	95	48
Mospd1	3244	3027	3292	3187
Banf2	0	0	0	0
Dclk1	5577	5654	6012	5868
Gpcpd1	1909	1919	2372	2401
Sinhcaf	10522	10004	17036	15057
Acbd5	7745	8329	7963	7892
Mir7073	10	8	6	10
Myo7a	3	2	5	0
4930548K13Rik	0	0	0	0
Luc7l2	31636	33927	32543	32730
Dnah8	5	3	0	1
Evc	107	61	107	49
Shroom2	1269	1313	4	8
1500009C09Rik	0	0	0	0
Kmt2e	2585	3264	3420	3304
Setd5	6025	5616	6870	5874
Pcyox1	2007	1846	2758	1678
Arpp21	1	0	0	1
Iyd	0	0	0	0
Mir7077	0	0	0	0
Smim4	106	95	217	180
Smc6	34672	34264	46331	43833
Nsmf	38	32	47	14
Hmbs	671	671	1184	585
Slc35b1	2844	3055	4605	3386
Mir7081	0	0	1	0
Synj2	301	264	921	627
Suds3	281	230	419	172
Ptk2b	4	4	19	8
Gfm2	470	471	702	444
Rlim	50059	48774	69147	66380
Ddt	10	3	17	5
Epha3	136	216	173	152
Gatad2a	1417	1507	1718	1129
Shc1	1607	1252	2415	1891
Anks1b	34	26	667	517
Cdk6	6972	7036	3346	2913
Cdk5r2	0	0	0	0
Cdk5r1	114	151	188	155
Kdm1a	2620	2173	2702	2047
Olfr192	0	1	0	0
Scaf4	635	782	766	639
4930557J02Rik	0	0	0	0
6030466F02Rik	0	0	0	0
Plcxd2	1407	1335	398	367
Morc2a	2702	2542	3518	2486
Atp6v1c2	0	0	0	0
C5ar1	0	0	0	0
Map1a	102	97	153	93
Gja5	0	0	2	0
Runx2	1992	2472	3302	3300
Gja3	58	59	4	11
Ackr3	6	5	12	8
Socs1	28	52	101	68
Sort1	254	255	40	24
Rangrf	71	88	135	44
Phyhd1	45	36	40	39
Slc4a9	0	2	0	0
Specc1	3846	3620	7478	6251
Gtf2a2	11272	11283	11859	10331
Deaf1	15	21	12	12
Mtarc1	0	0	0	0
Set	79697	75493	82078	74927
Glra3	0	0	14	21
Dnhd1	30	17	22	19
Tmem247	0	0	0	0
Pgpep1l	5	0	0	0
Notch3	8	14	5	1
Gtsf1l	0	0	0	0
Chml	7279	7603	10846	10646
Rnf212	0	0	0	0
Tceal8	27298	28594	33585	34210
Olfr935	0	0	0	0
Gm5087	0	0	0	0
Slco6b1	0	0	0	0
Ranbp3	70	50	108	35
Parp6	303	285	303	196
Gng10	17722	19680	17466	15003
Mrps18b	397	331	736	334
D16Ertd472e	2787	2824	3633	3333
2310039H08Rik	161	93	100	81
Rps10	351	206	408	147
Arih1	19970	19727	20497	17995
Dancr	1195	1143	1349	1073
9530026P05Rik	5	9	7	1
Itgal	0	0	0	0
Mir6408	0	0	0	0
Sirt6	8	9	10	14
Rgs12	288	298	357	195
Gm10681	0	0	0	0
Hfe	5	7	6	12
Tdrd7	697	735	1188	882
Mir1298	0	0	0	0
Ak2	2875	2556	4138	3632
Znhit1	16	11	25	9
Prx	19	8	9	3
4930509K18Rik	0	0	0	0
Zxdb	4580	5282	4466	4850
Alas2	0	0	0	0
Fiz1	213	126	186	104
Doxl1	0	0	0	0
Serpinh1	18750	12594	10350	9132
Vmn2r65	0	0	0	0
Myh3	0	0	0	0
Grm5	0	0	0	3
Apol7e	0	0	0	0
Vill	8	0	0	0
1700123O12Rik	0	0	0	0
Ins2	0	0	0	0
Wnk1	12957	15053	11914	10515
Tex14	55	57	26	20
Zbtb37	1579	1768	1889	1990
Egfem1	0	0	0	0
Eya1	1181	1312	1170	1064
Adgrg2	6	11	20	27
Nkain3	149	151	28	39
Cd2bp2	385	265	449	172
Sapcd2	28	16	18	6
Kcng2	0	0	0	0
Tecr	31	29	61	12
Asmt	0	0	0	0
Tfg	8352	8779	10087	10108
Gm12530	0	0	0	0
A930017M01Rik	0	0	0	0
Trpm3	113	143	96	92
Trpc4	0	0	0	0
Gm14296	0	0	0	0
Mtarc2	297	352	459	278
Itih5	5	7	10	5
Adcy4	1	0	0	0
Mical1	14	16	25	10
Zc3hav1l	765	763	869	769
Lrch4	0	0	0	0
Gbp5	0	0	1	0
Wnk2	0	0	0	0
Sec22a	1168	1070	1058	823
Ahsa2	4348	3691	5723	4873
Tfeb	1	0	0	0
Tgm1	1	0	0	0
Dynlt1f	0	0	0	0
D7Ertd443e	1	0	0	3
Tlcd2	21	20	11	2
Bend5	10	9	0	0
Cbwd1	2710	2533	3711	3174
Lrch2	5015	6018	5945	6386
Zdhhc6	2545	2289	2911	2135
Cbx3	78124	79667	98327	97264
Fndc4	346	308	51	47
Slc25a28	14	5	15	7
Gbp4	7	3	0	0
Cdkl3	228	235	249	204
Mir6410	0	0	0	0
Etfrf1	1175	1106	1340	1264
Gm10549	0	10	3	2
Atn1	14	15	21	7
Zfp111	1176	1287	1362	1318
Sema3b	1	0	0	0
Rbm43	166	137	283	168
S100a3	4	8	5	4
Kif18b	138	113	181	84
Hsh2d	1	0	0	0
Sgsm2	31	35	25	16
Sem1	2775	1908	2477	1166
Shd	0	0	0	0
Lcp1	2	1	1	0
H2-Q7	0	0	0	0
Gjb5	0	0	1	0
Rnps1	3417	3298	4678	2655
Gpr83	0	0	0	0
Cyp2d9	0	0	0	0
Rab23	1456	1364	2043	1515
Ext2	183	106	141	86
Scin	35	42	57	42
Clec11a	34	25	34	33
Scg2	2	0	2	2
Map7d2	12	23	13	12
Tectb	0	0	0	0
Spata3	0	0	0	0
Ola1	15044	13909	20001	18319
Lrrc46	0	0	0	0
Tmigd3	1	1	0	0
Dpep2	0	0	0	0
Slc25a51	1407	1412	2078	1550
Ubald2	3	0	0	0
6720489N17Rik	2281	2485	2998	2907
Zfp703	32	30	134	100
Slc35g2	38	36	13	12
Clasp2	7496	7826	7636	6844
Pak6	4	13	3	3
Smim19	364	245	338	240
Heph	4411	4123	2	3
Rhox2a	0	0	0	0
Cd209b	0	0	0	0
Prame	0	0	0	0
Mgam	83	63	154	141
Sh3d19	2776	2707	4023	3645
Dab2	1198	1195	1677	1307
Arhgap44	53	54	33	31
Ppp1r32	0	0	0	2
Tead3	73	91	97	90
Ctps2	1459	1076	2119	1445
Gps1	192	146	317	86
Cdh16	1	1	0	0
Shmt2	116	83	186	47
Ncor1	11947	12456	12397	10759
Dhrs3	18	15	6	3
Rs1	3	3	2	4
Rps7	8375	7375	11539	5112
Klk5	0	0	0	0
Gm4719	0	0	0	0
D030068K23Rik	14	13	11	10
Gm21828	0	0	0	0
Gm15880	16	11	13	8
4930547E08Rik	0	0	0	0
Mpig6b	0	0	0	0
Lgi1	2	0	0	0
Cep131	6	1	4	3
Masp1	69	71	463	293
Ascl1	1	0	0	0
Mas1	0	0	0	0
Mapkapk2	542	357	580	233
Ppp2r5c	7011	7251	9026	7483
Mir450b	5	2	17	10
Gm3448	0	0	0	0
Tbc1d21	0	0	0	0
Olfr125	0	0	0	0
Olfr113	0	0	0	0
Olfr122	0	0	0	0
Commd4	80	90	173	57
Them5	0	0	0	0
Utp23	966	970	1595	1288
Ppcs	120	111	197	76
Mrpl19	1041	882	1328	813
Hormad1	0	3	0	0
Tctn2	58	61	88	63
Tppp3	0	1	0	1
Ooep	9	4	6	8
U2surp	27708	28191	32167	29732
Foxi1	0	0	0	0
Plekhj1	62	59	95	35
Mir344-2	0	0	0	0
Mir465b-2	0	0	0	0
Mir465b-1	0	0	0	0
Cux1	4146	4461	3636	3143
Gm45927	0	0	0	0
Mpv17	447	507	767	435
Ankrd23	6	6	16	7
Hsf3	77	86	0	1
Radil	8	7	13	4
Gm10653	48	47	34	25
Tubb2a-ps2	2	1	1	2
Nanog	90	110	100	67
Nit1	114	91	153	119
Rnf25	63	39	79	43
Tmem33	20166	21332	20921	20117
Slc6a18	815	1062	991	912
Cd300lg	25	8	17	19
Osgin1	1	0	0	1
1110017D15Rik	0	2	0	0
Krtap21-1	0	0	0	0
Olfr1215	0	0	0	0
Snora65	6	2	8	1
Olfr282	0	0	0	0
Olfr92	0	0	0	0
Olfr1241	0	0	0	0
Olfr1231	0	0	0	0
Olfr693	0	0	0	0
Olfr694	0	0	0	0
Nfix	1093	1790	718	596
Evi2b	0	0	0	0
Stk35	1846	1916	2731	2596
Pex26	69	43	97	45
Stard7	3313	2819	4281	2792
Stat5b	545	453	471	425
Ubac1	237	264	448	195
Stat5a	46	32	24	12
Eva1c	0	0	15	8
Dab1	0	0	0	0
Gpx6	0	0	0	0
Clba1	64	41	102	89
Ifi27l2b	103	104	194	175
Mical3	80	89	79	55
Gm10516	26	42	45	41
Cilk1	765	717	693	571
Slc38a10	94	65	135	85
Zfp451	4266	4358	5731	4851
Bloc1s4	972	980	1291	1027
Abhd17c	2658	2690	2528	2559
Acad10	4	4	9	3
Snx10	800	790	1276	1236
Sh2d4a	6	6	1	0
Metrn	15	12	24	10
Rab43	59	45	84	51
Abcb8	15	9	21	8
D14Ertd670e	0	0	0	0
Optn	89	78	90	56
Sidt2	214	141	224	89
Pum1	4744	4973	5584	4989
Oxr1	14753	15390	14184	13483
Gm11545	0	0	0	0
Cyp3a59	3	4	0	0
Zfat	123	99	120	58
4933402J10Rik	0	0	0	0
Mecp2	2124	2217	2638	2225
Efcab12	0	0	1	1
Klrb1	0	0	0	0
Gnb1l	42	36	50	29
Ap1b1	125	101	200	119
Gm14308	0	0	0	0
Tbc1d4	377	363	433	391
B4galnt1	42	28	33	25
Nat8f7	0	0	0	0
Oxtr	3	3	2	2
Prickle2	140	100	317	221
Gm2381	88	86	39	32
Gpr161	550	537	1039	650
Gm4297	0	0	0	0
Gm2030	0	0	0	0
Gm5934	0	0	0	0
Gm10488	0	0	0	0
Carmil1	722	825	2309	1948
Mir3059	0	0	0	0
Myo1b	8995	8908	13870	12583
Rngtt	6121	5994	6386	6196
Larp4b	9121	9142	13400	11238
Sh2b3	545	442	1601	1052
Gm7827	0	0	0	0
Ap4s1	328	227	248	208
Ntng2	0	0	0	0
Stk26	65	71	0	0
LOC666331	0	0	0	0
Mir297a-4	0	0	0	0
Mir6974	0	0	0	0
Ubap2l	3116	3137	3975	2617
Tsen34	232	251	328	237
Sct	0	0	0	0
Nup98	8464	7659	8333	6897
Nbr1	3051	2925	4883	3791
Fen1	1171	1345	2385	1335
Xpo6	1297	1044	1265	970
Bak1	76	50	82	34
Mybl2	37	15	38	16
Vamp2	65	68	81	74
Vamp1	15	12	6	6
Ahi1	1033	995	1124	889
Arpc4	1079	813	1373	581
Ackr2	1	1	0	0
Agxt	0	0	0	0
Vps8	393	318	339	210
H2-Ob	0	0	0	1
Mapk10	2	0	2	0
Pccb	134	123	108	79
Bpgm	240	221	564	257
2310057M21Rik	908	943	1131	816
Ubr7	2558	2254	3366	2517
Grifin	0	0	0	0
Lbh	423	364	1075	775
Hspa13	18906	20179	24775	24988
Tspyl4	451	450	239	213
Atp12a	0	1	0	0
Cutc	275	230	364	273
Sprtn	1123	1014	1235	1122
Prkd2	12	3	5	1
Proz	0	0	0	0
Ube2d2a	16709	15646	19021	16862
Tdo2	0	0	0	0
Sult1b1	0	1	0	0
Polr3k	5706	5875	8438	8535
Tsc22d4	10	8	15	4
Asb3	1561	1707	1798	1381
Mmp10	2	4	196	91
Gm14819	0	0	0	0
Wdr72	0	4	0	0
Eefsec	29	16	28	6
Ccdc57	3	3	9	5
Arhgap4	2	2	2	0
Mtf2	13742	14660	19565	18819
Cxxc5	825	883	1575	1412
Nmnat3	77	88	13	8
St3gal6	15	13	319	228
Rock1	33562	35737	39946	37984
Atpif1	2184	1927	3403	1438
Hyal1	32	29	43	15
Kitl	9888	10747	20834	20055
Krba1	105	92	50	45
Gm4303	0	0	0	0
Pik3cd	11	11	15	1
Gm16405	0	0	0	0
Nfe2l1	701	614	870	498
Btbd6	5	8	4	5
Gm16381	0	0	0	0
Lpp	63720	70498	56200	52068
Gucy2d	0	0	0	0
Wac	10849	10432	12836	10699
Setdb1	1857	1672	2734	1914
Chn2	22	24	0	0
Rnpep	179	129	142	76
Pcdh15	11	16	6	2
Kcnt1	0	0	0	0
2810459M11Rik	0	0	0	0
Gm10548	16	30	34	19
Yars2	2510	2386	3318	2818
Nudt12os	0	0	0	0
Fam49b	11264	11078	16672	15696
Gm15093	0	0	0	0
Cacna1g	2	0	0	0
Bcar1	178	335	194	86
Crhr2	0	0	0	0
Iapp	0	0	0	0
Elavl4	510	499	0	2
Gm19466	0	0	0	0
Gm4262	39	36	45	49
4930556M19Rik	55	64	86	77
1700026F02Rik	0	0	0	0
Mir7006	0	0	0	0
Kdm6a	7560	7647	9540	9812
Mettl1	60	43	82	28
Aanat	0	0	0	0
Dnajc2	8381	7024	10096	8788
Mid1	29	31	46	42
Bcl11a	0	0	0	0
Tpx2	8997	7832	11952	7737
1700001G11Rik	11	3	6	3
Mad2l1bp	122	161	208	93
Tars2	310	300	433	240
Mrps34	13	9	31	3
Pycard	0	0	0	0
Ints12	1821	1965	2639	2137
Mybphl	0	0	0	0
Trnau1ap	85	81	130	75
Krt20	1	0	0	0
Rreb1	254	370	618	584
Ipcef1	3	2	3	1
Gnpda1	64	66	131	84
Ksr1	26	24	51	39
Thbs3	31	22	18	11
Sart1	96	100	106	76
Cuta	61	44	79	27
Syt17	21	32	9	6
Amdhd2	1	4	5	0
Dgkk	92	117	15	12
Gprasp1	2003	1716	1755	1235
Zfp7	450	466	786	503
Fam178b	0	0	0	0
Syce2	62	25	44	23
Tekt4	0	0	0	0
Ccl21d	0	0	0	0
Vezt	2076	2178	2080	1827
Stil	1855	1862	2244	1899
Tbl2	535	342	451	293
Rrm2	12280	10299	13054	10708
St6galnac2	1	0	0	0
St3gal1	236	190	265	92
Zfp317	7642	7303	6996	6881
Pdia6	8432	8416	12464	9365
Mrpl1	4984	4479	5151	4389
Dcaf7	2526	2324	3043	2307
Pdilt	0	0	0	0
Fendrr	3	6	12	17
Ccdc163	42	49	106	57
2410004B18Rik	1759	1984	2405	1930
Disp3	11	8	9	8
Ccdc34	5349	5529	8344	8006
Rabggtb	9295	8720	13387	10612
Mir17	39	53	115	133
Pex11b	163	124	249	142
Dand5	9	11	7	1
Mir22hg	3991	4814	4395	4365
Mir467a-4	0	0	0	0
AU019990	1	0	0	0
Mrps12	185	137	311	102
Exoc1	1685	1678	1853	1341
4933417G07Rik	0	0	0	0
Gm10649	0	0	0	0
Nkx6-2	0	0	0	0
Lrrc75a	331	257	261	145
Slc23a2	1334	1495	1908	1576
Atg13	132	92	155	82
Gm13289	0	0	0	0
Setd2	13167	12987	11374	10330
Nhsl1	425	542	374	352
Ctsj	0	0	0	0
Cops7a	1552	1859	2917	2076
Cops6	467	309	528	302
Rpl21	8582	5966	12114	3593
Derl3	0	0	0	0
Kctd18	617	474	536	499
D330050G23Rik	1	2	9	6
Inppl1	695	671	873	388
Trp63	24	21	0	0
Mocs2	992	917	1092	781
Rnf34	1417	1629	2106	1703
Ttc39a	3	4	9	9
Tmc7	4	2	7	5
Nkd2	16	19	18	11
Matn2	1428	1168	1737	1573
Tmub1	5	2	4	3
Folh1	0	0	0	0
Stk32b	0	0	0	0
Sdf2l1	153	99	230	144
Ulk2	2984	3127	3411	3177
Rhbg	0	0	0	0
Gm14204	18	8	15	8
Gm19277	0	0	0	0
Mir6404	0	0	0	0
Ralgps2	671	677	2468	1983
Vmn2r95	0	0	0	0
Tiam1	994	1020	1604	1264
Ypel1	30	32	21	12
Klhl22	487	408	649	375
Ndrg2	58	48	79	45
Man2c1	55	37	64	16
Gm14430	0	0	0	0
Setd6	1104	1200	1857	1290
Sis	0	0	0	0
Porcn	2	3	4	3
Gm12250	15	8	4	6
Satb2	282	511	549	531
Mark3	4402	4366	6279	5001
Itgb3	76	58	461	315
Zkscan3	1877	1944	2344	2135
Ripk4	0	0	1	0
Pde1a	162	144	403	438
Enpp4	1424	1431	1218	1097
Gimap8	249	270	269	243
Igsf1	14	9	2	0
Fbf1	95	64	146	71
Atraid	102	59	104	52
Mir496b	0	0	0	0
Dock9	754	808	2050	1695
Wdr76	2913	2734	3968	3077
Crtac1	0	0	0	0
Gm38402	1	0	0	1
Paqr7	58	58	64	52
Phf23	491	303	636	405
Ms4a8a	0	1	0	0
Olfr1053	0	0	0	0
Tpm1	27721	24062	23641	12424
Gramd4	878	1011	1506	1304
Polk	2505	2381	3723	3143
Syne1	1875	1820	4223	3026
Dbi	2552	2051	3557	2108
Daxx	225	252	378	186
Cyp1a1	2	2	0	2
Cyp11b2	0	0	0	0
Cyp46a1	0	0	2	1
Oog3	0	0	0	0
Eif4ebp3	68	61	90	57
Mprip	2747	2291	2883	1313
Mir6411	0	0	0	0
Grin3a	2	1	0	0
Epc1	2255	2017	2375	1994
Dnm1l	16824	16845	18910	17753
Exoc3l4	10	7	17	8
Ccdc121	0	0	0	0
Defb21	0	0	0	0
Klk1	0	0	0	0
Rfc1	5710	4922	5662	4247
Rbp4	0	2	1	1
Rbp1	11	15	3	5
Gm1553	0	0	0	0
Esp16	0	0	0	0
Zfp850	5077	4511	4458	4433
Tnip1	7	5	18	9
Smarcd1	103	111	136	64
Kis2	0	0	0	0
Lpcat1	1172	1024	1314	970
Dnm1	8	4	37	14
Secisbp2l	8699	10113	13329	13122
Rragd	26	28	25	20
Lrp8	2189	2190	4480	4060
Hsf4	0	0	0	0
Ampd3	86	88	153	120
Mgst2	22	18	65	41
Sh3bp1	47	65	106	42
Usf1	54	78	132	44
Wdr44	3618	3931	4122	4036
Adamts10	51	50	47	49
Col26a1	0	0	0	0
C2cd6	7	5	7	7
Gm27775	0	0	0	0
Mir24-1	0	0	0	0
Itpa	2187	2271	4014	2532
Gm2026	37	35	54	51
Rint1	715	678	807	612
Vasp	1312	921	1366	926
Pla2g4a	25694	27101	38634	33346
Igfbp7	10904	13629	13523	9244
Gdf5	0	0	0	0
Rgl2	15	14	17	10
Ptpra	2929	2995	4323	3131
Rabggta	60	67	94	45
Ccdc186	4998	4755	4311	3514
Slc16a11	0	0	0	0
Timm10b	783	741	1030	722
Arvcf	17	14	11	8
Syt8	0	0	1	0
Kcnj15	218	227	14	9
Palld	3234	4724	1715	1736
Csde1	117820	106258	131771	116674
Dctn6	1202	1202	1694	1298
Slc26a1	0	0	0	0
Fgd4	591	675	35	22
Tpk1	284	351	343	271
Mgme1	294	289	407	303
St7	494	461	598	382
Azin2	0	0	1	0
Rgs21	2	1	0	0
Ddit3	25	12	26	10
Ltbp1	24224	26248	28441	23969
Cc2d2a	1052	913	787	648
Dmp1	0	0	3	0
Gpr135	38	43	146	101
Ffar4	0	0	0	0
Aida	8742	9195	13028	10635
Mir6418	0	0	0	0
A730020M07Rik	1	6	2	2
Homer3	45	30	60	10
Hint3	469	461	635	534
Etfdh	2345	1919	2034	1353
Alg6	2312	2233	2492	2395
Slc44a5	1	0	0	1
Tspan2	653	768	195	183
Rufy3	1314	1394	1268	1037
Als2	1088	892	1200	786
Vgll1	0	0	0	0
Nus1	18280	18402	20510	20015
Cttnbp2nl	3807	4020	4165	3832
Adamts18	19	10	6	4
Il19	1	2	1	1
Asb18	0	0	0	0
Mettl18	338	374	440	305
Zfp819	2	2	1	0
Tm4sf1	25011	27253	15905	10444
Ubap1	1120	1173	1702	1084
1700049E22Rik	0	0	0	0
A730008H23Rik	0	0	0	0
Iqch	0	1	0	0
Slc2a4rg-ps	23	27	41	22
Retreg1	1195	1230	1899	1686
A330048O09Rik	0	3	0	0
Fhl1	17572	16334	574	452
Npbwr1	1	0	0	0
Hnrnpf	62576	63817	93171	90074
Sfxn4	263	273	273	230
Sfxn3	492	430	473	319
2310057N15Rik	0	0	2	0
Camsap2	9880	10091	13699	12936
A930033H14Rik	55	53	67	50
Psmc5	455	248	483	239
Fli1	961	1033	63	52
Peg12	1581	1788	1676	1407
Mlip	1	4	0	0
Ptx4	0	0	0	0
Cldn10	0	0	0	0
Rad18	3724	3686	6280	5271
Mrpl53	671	845	1520	594
Tspan11	7	6	72	35
H2al2a	0	0	0	0
Nadsyn1	12	15	21	10
Trim42	0	0	0	0
Lrrc40	6516	6115	6194	5639
Spag16	1	3	4	0
Gvin1	0	0	0	0
Hmx1	0	0	0	0
Cxcl11	1	1	0	1
4933439C10Rik	38	35	51	21
Pdcd4	2324	2697	1309	1154
Pik3c2g	0	0	0	0
Krtap4-9	0	0	0	0
Zeb2	7345	7885	10494	9957
BC031181	905	817	1390	929
Scrt2	0	0	1	1
Cyp39a1	455	337	440	390
Rpap3	1350	1148	1679	1251
Iltifb	0	0	0	0
Pmfbp1	0	0	0	0
Armcx3	4870	4499	4723	4340
Ccdc153	7	1	2	2
Lama1	0	0	3	1
Fanca	88	87	131	67
Naa30	10047	10939	15851	16225
Ovch2	0	0	0	0
Nkg7	0	0	0	0
Rap1gap	0	0	1	0
Chchd6	1	3	4	5
Olfr78	0	0	0	0
Zfp57	1725	1486	1348	1117
Rapgef4	147	189	227	178
Zbed4	1619	1510	2030	1719
Gtf2h3	585	550	828	438
Fcgrt	5	6	10	4
Mapk1	15034	14076	18981	15567
Ahcyl1	15012	14438	18473	15704
Cox7b2	2	0	1	3
Rgs17	562	676	1046	1105
Mzf1	5	0	0	1
Cdk2ap1	1896	1274	1933	1198
Adam34	0	0	0	0
Srcin1	0	0	0	0
Nphs1	11	16	16	3
Tsnaxip1	1	0	0	0
Phyh	92	102	351	292
Vdac1	6026	6254	9426	6250
Grb2	1367	1214	2096	1830
Pax7	0	0	0	0
Elane	0	0	0	0
Zcchc18	33	41	0	0
Smarcd3	13	17	9	2
Khdc3	0	0	0	0
Rab5a	16730	17098	19213	19117
Slc25a23	0	4	0	0
Mir6975	2	0	2	2
Olfr15	0	0	0	0
Cd68	17	9	31	3
Sh3kbp1	14057	14540	21418	15354
Mir6980	0	0	0	0
Mir6976	2	5	2	1
Pan3	5260	5269	5807	5094
4930550C14Rik	1	4	5	5
Cobll1	3235	4078	2606	2650
Tmsb15a	1	0	0	0
Prl3c1	0	0	0	0
Dguok	73	48	88	31
Rpl3	3850	2310	4766	1741
Cntn6	0	0	0	0
Ap1ar	2687	2912	3241	3060
Barhl1	0	0	0	0
Fmn2	5	11	13	26
Srfbp1	907	801	1086	907
Actrt2	0	0	0	0
Ccdc30	5	3	11	1
Myl12a	21726	20855	25813	21201
Stard3nl	1132	1121	1973	1533
Xaf1	132	152	367	327
Kansl2	4854	4946	7225	4735
Otub1	292	311	386	164
C2cd5	743	822	1062	902
Capza1	27516	25495	33611	27805
Asap1	3168	3547	2484	1981
Alyref	6586	8184	9952	9083
Prkacb	8617	9301	8787	7536
A630077J23Rik	0	0	0	0
Scyl2	6207	5797	6988	6421
1700095B10Rik	0	0	0	0
Gm12505	1	0	3	0
Fhad1os1	0	0	0	0
Rgs19	882	885	1493	1004
LOC100125594	0	0	0	0
AY702102	0	0	0	0
