	A567T11	A567T12	A567T15	A567T16
HES5	0	0	1	1
RP3-395M20.12	34	20	10	16
RP3-395M20.8	23	14	15	24
TNFRSF14	668	543	793	751
RP3-395M20.7	0	0	0	1
RP3-395M20.9	3	1	2	2
FAM213B	2147	1956	1586	1635
MMEL1	0	0	2	2
RP13-436F16.1	0	0	0	0
TTC34	20	10	27	48
RP11-740P5.2	0	0	0	0
RP11-740P5.3	1	0	0	0
ACTRT2	0	0	0	0
LINC00982	0	0	0	0
AL008733.1	0	0	0	0
PRDM16	0	1	0	2
RP1-163G9.2	0	0	0	0
RP11-22L13.1	0	0	0	0
ARHGEF16	3830	3520	2951	1985
RP11-168F9.2	7	6	2	4
MEGF6	225	159	197	394
MIR551A	0	0	0	0
RP11-46F15.2	8	8	13	7
TPRG1L	2012	2107	2577	2172
WRAP73	2652	2520	1893	1697
TP73	219	196	397	919
RP5-1092A11.5	1	8	3	10
RP5-1092A11.2	1	0	0	7
TP73-AS1	1898	1482	1809	1939
CCDC27	0	1	0	2
SMIM1	49	27	23	25
LRRC47	4200	4393	3809	3050
RN7SL574P	2	3	3	1
RP1-286D6.5	54	46	60	56
CEP104	2974	2807	3101	2761
DFFB	1040	941	657	539
AL691523.1	0	0	0	0
C1orf174	2723	2541	2647	2154
RP13-15E13.1	45	43	25	40
RP13-614K11.1	0	0	0	0
RP13-614K11.2	0	0	0	0
RP11-374C13.1	0	0	0	0
RP5-1166F10.1	0	0	0	0
RP1-37J18.1	0	0	0	0
RP1-37J18.2	0	0	0	0
AJAP1	1385	1159	1549	1876
RP11-542C10.1	0	0	0	0
RP1-58B11.1	0	0	0	0
MIR4417	0	0	0	0
RP11-154H17.1	0	0	0	0
AL356693.1	0	0	0	0
MIR4689	1	0	1	2
NPHP4	1980	1555	1786	2065
AL356261.1	5	6	2	3
KCNAB2	495	464	1131	1532
AL035406.1	0	0	0	0
CHD5	10	5	8	4
RPL22	35471	38941	30325	22334
RP1-120G22.11	10	14	16	18
RNF207	1084	876	981	1020
ICMT	10244	9575	11647	10974
LINC00337	20	9	35	28
HES3	0	0	0	0
GPR153	1698	1494	2309	1585
ACOT7	14513	15318	14138	10664
RP1-202O8.3	0	0	0	0
HES2	2351	2192	1115	617
ESPN	42	30	27	18
MIR4252	0	0	0	0
RP1-202O8.2	1	3	0	1
TNFRSF25	1618	1280	1648	1295
PLEKHG5	3106	2502	3955	3940
NOL9	2610	2643	2592	1805
RNU6-731P	1	0	0	1
RP11-58A11.2	5	2	9	12
TAS1R1	4	3	0	14
ZBTB48	1462	1372	1320	1074
KLHL21	4331	3862	4508	4114
PHF13	2490	2335	2511	2782
THAP3	950	1024	813	646
DNAJC11	4928	4075	3524	3485
RP11-242F24.1	0	0	0	1
snoU13	390	281	398	615
RP11-312B8.1	16	7	13	15
CAMTA1	2055	2382	1943	1590
RP11-312B8.2	0	0	0	0
RP11-334N17.1	0	0	0	0
RNU1-8P	0	0	0	0
CAMTA1-IT1	2	1	3	1
RP3-453P22.2	0	0	0	0
RP4-549F15.1	0	0	0	0
RP11-338N10.1	0	0	0	0
RP11-338N10.2	0	0	0	0
RP11-338N10.3	0	0	0	0
VAMP3	7019	6435	10288	9948
RP3-467L1.6	31	15	45	36
PER3	288	222	208	453
RP3-467L1.4	2	3	0	1
UTS2	0	0	0	0
TNFRSF9	36	26	111	209
RP5-892F13.2	0	0	0	0
PARK7	17359	20115	16805	12660
Y_RNA	936	651	883	1427
ERRFI1	13817	11268	11202	21705
RP11-431K24.1	17	11	21	27
CTA-215D11.4	0	0	0	0
RP11-431K24.2	2	0	0	2
RNU1-7P	0	0	0	0
RP11-431K24.3	5	6	5	8
RP11-431K24.4	0	0	0	0
RN7SL729P	0	0	0	0
RNU6-991P	0	0	0	0
SLC45A1	44	43	32	184
RERE	4139	3436	3963	4743
RP5-1115A15.1	5	3	4	2
SNORA77	6	6	10	24
RP5-1115A15.2	5	3	4	0
RP4-633I8.1	0	0	0	1
RP4-633I8.2	0	0	0	1
RP4-633I8.3	0	0	0	0
RP4-633I8.4	0	0	0	0
RP11-185B14.1	0	0	0	0
ENO1	272246	289585	268773	211942
ENO1-IT1	46	26	50	76
ENO1-AS1	8	14	25	13
RNU6-304P	0	1	2	0
HMGN2P17	1	2	1	0
RP3-477M7.5	1	0	0	0
RP3-477M7.6	0	0	0	0
CA6	2	1	1	1
RN7SL451P	0	0	0	0
SLC2A7	1	0	0	2
SLC2A5	30	23	31	92
SCARNA16	1	0	0	0
GPR157	1166	1131	1410	944
MIR34A	5	3	5	15
RP3-510D11.1	2	0	0	2
RP3-510D11.2	26	27	30	37
H6PD	2111	1970	3508	4519
Z98044.1	0	0	0	0
SPSB1	846	763	1250	1296
RNA5SP40	0	0	0	0
RP13-392I16.1	0	0	0	0
SLC25A33	967	867	508	379
RP13-15M17.1	13	4	9	7
TMEM201	3903	3669	2476	1796
PIK3CD	1316	1260	2665	3020
C1orf200	0	0	0	0
RP11-558F24.2	0	0	0	0
RP11-558F24.4	58	51	59	80
CLSTN1	20118	19258	30962	31038
RP11-558F24.6	0	0	1	1
CTNNBIP1	3010	3439	4942	3572
RP11-84A14.5	0	0	0	0
LZIC	1929	2008	2322	2121
RP11-84A14.4	36	29	29	46
NMNAT1	842	761	918	818
RN7SKP269	17	7	9	13
MIR5697	0	0	2	1
RP11-807G9.2	0	0	0	0
RBP7	23	31	5	7
AL590639.1	0	0	0	0
UBE4B	5476	5069	5983	6968
RP11-496H15.2	1	2	0	5
PGAM1P11	8	2	1	9
RNU6-828P	2	0	1	2
KIF1B	4611	3812	5509	8145
MIR1273D	0	0	0	0
RNU6-37P	1	0	2	1
RN7SL731P	0	0	0	0
RN7SL721P	0	5	1	5
PGD	9647	10742	9220	7614
RP4-736L20.3	2	2	2	0
APITD1	397	428	399	332
APITD1-CORT	0	0	0	0
CORT	23	11	15	6
DFFA	8044	7803	6977	5496
RP5-1113E3.3	0	0	0	0
PEX14	2001	2199	2022	1639
RN7SL614P	1	0	1	6
CASZ1	729	547	478	444
RP4-734G22.3	88	83	81	38
RP11-340B24.3	0	0	1	0
C1orf127	5	3	1	3
CFL1P6	0	2	0	1
AL713997.1	0	0	0	0
TARDBP	19630	17323	18523	16355
MASP2	78	53	87	170
RP4-635E18.8	116	105	169	126
SRM	13011	13969	7653	4231
EXOSC10	7978	7652	8147	7875
RP4-635E18.7	47	31	31	35
RP4-635E18.6	33	27	24	14
MTOR	6688	5521	5644	7263
MTOR-AS1	1	1	0	2
RNU6-537P	0	0	0	1
ANGPTL7	0	1	1	2
RNU6-291P	0	1	1	5
RPL39P6	0	0	0	1
UBIAD1	2001	1921	1651	1547
UBE2V2P3	6	5	1	8
RP11-149P14.1	0	0	0	0
PTCHD2	14	6	13	44
RP1-69M21.2	3	4	4	3
FBXO2	2280	2125	2243	1772
FBXO44	1869	1893	1485	1317
FBXO6	488	506	478	362
MAD2L2	2806	3198	2822	2266
DRAXIN	0	2	2	22
AGTRAP	4248	4539	5871	3962
C1orf167	0	0	2	1
RP11-56N19.5	0	0	0	0
MTHFR	408	389	644	894
CLCN6	841	747	1044	1360
NPPA-AS1	43	42	51	32
NPPA	10	9	12	11
NPPB	1	0	0	1
RP5-934G17.6	0	0	0	0
RNU5E-1	1	0	2	1
RNU5E-4P	1	0	1	1
KIAA2013	6043	6004	4886	4071
PLOD1	19018	19462	19518	20503
MFN2	16796	14887	15389	12856
RP5-1077B9.5	0	0	0	0
MIIP	1782	1878	1603	975
RN7SL649P	0	0	0	0
TNFRSF8	8	10	2	4
RNU6-777P	0	0	0	0
RP11-426M1.2	0	0	0	0
TNFRSF1B	7	11	4	25
MIR4632	0	0	0	0
RP5-1118D24.2	0	0	0	0
SNORA70	37	36	31	28
VPS13D	3564	3158	4275	6179
SNORA59A	15	14	8	13
RP5-888M10.2	0	0	0	0
DHRS3	4198	4691	2307	1566
RNU6ATAC18P	14	9	7	4
RP11-474O21.5	26	22	8	21
AADACL4	0	0	0	0
RP11-474O21.2	0	0	0	0
AADACL3	0	0	0	0
C1orf158	0	0	0	0
PRAMEF12	0	1	0	0
PRAMEF1	0	0	0	0
RP5-845O24.8	0	0	0	0
PRAMEF11	0	0	0	0
RP5-845O24.3	0	0	0	0
HNRNPCL1	2	1	0	1
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
RNU6-1072P	0	0	0	0
RP11-450I1.2	0	0	0	0
PRAMEF6	0	0	0	0
RP11-450I1.4	0	0	0	0
PRAMEF22	0	0	0	0
WI2-3308P17.2	0	0	0	1
PRAMEF23	0	0	0	0
RP13-221M14.6	0	0	0	0
PRAMEF25	0	0	0	0
RP13-221M14.2	0	0	0	0
RP13-221M14.3	0	0	0	0
RP13-221M14.4	0	0	0	0
HNRNPCP5	0	0	0	1
WI2-2994D6.1	0	0	0	0
PRAMEF26	0	0	0	0
PRAMEF3	0	0	0	0
RP11-248D7.2	0	0	0	0
PRAMEF5	0	0	0	0
RP11-219C24.8	0	0	0	0
RNU6-771P	0	0	0	0
PRAMEF8	0	0	0	0
RP11-219C24.6	0	0	0	0
PRAMEF9	0	0	0	0
RP11-219C24.10	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF16	0	0	0	0
PRAMEF21	0	0	0	0
XX-FW84067D5.1	0	0	0	0
XX-FW84067D5.2	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	1	0	0	0
RP4-597A16.2	0	0	0	0
RP4-597A16.3	0	0	0	0
PDPN	1169	1151	2527	2569
RNA5SP41	0	0	0	0
AL359771.1	0	0	0	0
CTA-520D8.2	0	0	0	0
SCARNA11	4	2	2	1
PRDM2	1817	1486	1987	2821
RNU6-1265P	0	0	0	0
RP11-344F13.1	0	0	0	0
RP4-704D23.1	0	0	0	0
KAZN	1979	1687	1047	744
TBCAP2	0	0	0	0
TMEM51-AS1	65	41	43	22
TMEM51	2312	2143	2243	1598
C1orf195	4	6	2	2
RP1-21O18.3	2	0	0	0
FHAD1	93	99	59	69
RP3-467K16.2	3	0	0	0
RP3-467K16.7	2	0	0	1
RP3-467K16.4	54	53	72	82
EFHD2	42822	41863	32979	17171
CTRC	2	2	10	6
CELA2A	1	0	1	0
CELA2B	4	0	3	1
CASP9	626	629	546	545
DNAJC16	1195	1145	1378	1673
SCARNA21	5	8	4	5
RP4-680D5.8	1	5	2	4
AGMAT	505	489	564	390
RP4-680D5.2	16	4	18	9
CHCHD2P6	10	7	11	5
RNU7-179P	1	3	0	0
RP4-680D5.4	0	0	0	0
DDI2	3955	3275	3506	4119
RSC1A1	0	0	0	0
RP4-680D5.9	0	0	0	0
PLEKHM2	5687	5611	6016	4811
AL121992.1	0	0	0	0
RP11-288I21.1	21	12	16	26
SLC25A34	93	87	129	81
RP11-169K16.4	21	30	26	28
TMEM82	8	4	12	7
FBLIM1	7497	7826	13844	10820
RP11-169K16.6	50	56	47	91
RP11-169K16.7	927	1051	757	466
RP11-169K16.8	1	1	0	0
RP11-169K16.9	224	201	234	285
SPEN	7593	6352	7028	9820
RP1-134O19.3	0	0	0	0
ZBTB17	1855	1797	1950	1709
RP11-5P18.1	0	0	1	1
RP11-5P18.3	0	0	0	0
TBC1D3P6	0	0	0	0
C1orf64	0	0	0	0
RP11-5P18.5	0	0	0	0
HSPB7	0	0	1	13
CLCNKA	4	1	3	17
RP11-5P18.10	10	7	7	4
CLCNKB	15	13	17	42
FAM131C	117	115	81	65
EPHA2	12042	11470	9908	9792
RP11-276H7.2	51	48	55	54
RP11-276H7.3	23	30	35	30
ARHGEF19-AS1	0	0	0	0
ARHGEF19	1458	1308	1167	823
ANO7P1	63	82	73	93
C1orf134	68	90	79	43
RSG1	298	282	258	198
MT1XP1	7	5	4	4
FBXO42	1791	1763	1742	2288
SZRD1	10167	10777	11376	10217
RP11-430L17.1	2	1	4	3
SPATA21	1	2	1	5
NECAP2	4784	4842	6548	5636
RP4-798A10.2	61	32	72	86
CROCCP3	178	140	253	299
RNU1-1	0	0	0	0
RP4-798A10.7	24	28	17	21
RP4-798A10.4	1	0	0	0
U1	67	39	36	48
AL355149.2	0	0	0	0
RP5-875O13.6	0	0	0	0
AL355149.1	0	0	0	0
NBPF1	2923	2418	3188	4054
RP5-1182A14.5	3	4	0	2
CROCCP2	1649	1247	1152	1199
MST1P2	92	86	66	107
RNU1-3	0	0	0	0
AL137798.1	0	0	0	0
AL021920.1	0	0	0	0
EIF1AXP1	41	21	37	46
ESPNP	7	1	4	3
AL021920.2	0	0	0	0
CROCC	1622	1148	1369	1144
RNU1-4	0	0	0	0
CROCCP4	0	0	0	0
MST1L	9	7	3	13
RP11-108M9.1	0	0	0	0
RP11-108M9.2	0	0	0	0
MIR3675	0	0	0	0
RP11-108M9.4	25	50	79	42
RP11-108M9.5	15	14	17	6
RNU1-2	0	0	0	0
RP11-108M9.6	3	6	3	2
MFAP2	31	29	284	254
RP1-37C10.3	1	1	2	5
ATP13A2	5196	4849	8512	5603
SDHB	9889	10603	8633	6244
PADI2	91	75	13	26
RP11-380J14.1	51	31	52	53
PADI1	184	140	66	90
PADI3	105	113	161	248
MIR3972	1	3	1	1
PADI4	4	5	6	24
AC004824.2	0	0	0	0
PADI6	0	0	0	0
RP1-20B21.4	0	0	0	0
RCC2	18817	18246	15104	13002
AC004824.1	0	0	0	0
ARHGEF10L	815	745	946	969
RP11-473A10.2	0	0	0	0
ACTL8	8	2	3	3
RP11-174G17.2	0	0	0	0
IGSF21	0	0	0	0
RP11-174G17	0	0	0	0
RP11-422P22.1	0	0	0	0
KLHDC7A	7	9	1	3
RP1-8B22.1	0	0	0	0
RP1-8B22.2	0	0	0	0
PAX7	0	2	0	1
TAS1R2	0	0	0	0
RP13-279N23.2	1	0	0	1
ALDH4A1	639	638	705	488
MIR4695	0	0	0	0
MIR1290	0	0	1	0
IFFO2	6298	5774	6183	5987
RP5-1126H10.2	43	40	49	34
UBR4	16337	14096	17378	24529
AL137127.1	18	10	12	17
RP1-43E13.2	22	17	17	17
EMC1	8153	7593	8277	8643
MRTO4	13323	14712	10766	6252
AKR7L	32	27	14	22
AKR7A3	42	43	25	26
RP4-657E11.10	28	25	24	58
AKR7A2	3629	3524	3497	2949
RNU6-1099P	3	4	7	6
PQLC2	1061	1046	1231	1039
RN7SL85P	0	0	0	0
CAPZB	18649	19979	21231	18114
RN7SL277P	0	0	0	1
RNU4-28P	0	0	0	0
RP5-1056L3.1	3	1	0	1
MINOS1-NBL1	0	1	0	0
MINOS1	1507	1473	1616	1085
RPS14P3	30	47	21	39
NBL1	2254	2743	2766	1584
HTR6	0	0	4	0
TMCO4	917	935	835	811
RNF186	0	0	0	1
RP11-91K11.2	0	0	0	0
OTUD3	1522	1251	1225	1710
PLA2G2E	0	0	0	0
RN7SL304P	0	0	0	0
PLA2G2A	1	0	0	1
PLA2G5	0	0	0	7
PLA2G2D	3	0	0	0
PLA2G2F	1	1	0	0
RP3-340N1.2	3	6	2	1
PLA2G2C	2	0	0	0
RP3-340N1.5	0	0	0	0
UBXN10	3	3	0	0
RP3-340N1.6	0	0	0	0
VWA5B1	0	0	0	0
RP4-745E8.2	0	0	0	0
RP4-749H3.1	0	1	0	1
RP4-749H3.2	0	0	0	0
CAMK2N1	8874	8612	6531	4736
MUL1	2836	2996	2852	2428
RPS4XP4	1	0	0	0
FAM43B	1	3	1	19
CDA	5132	6113	8068	6419
PINK1	922	908	1013	1156
PINK1-AS	281	270	243	250
AL391357.1	0	0	0	0
DDOST	20760	19773	19912	19663
KIF17	61	76	113	68
RP5-930J4.5	0	0	1	1
SH2D5	2718	2530	3602	1968
RP5-930J4.2	5	5	5	4
HP1BP3	11102	8479	12149	17640
RP5-930J4.4	0	0	0	0
EIF4G3	7314	6007	7536	9914
RNU7-200P	0	0	0	0
MIR1256	0	1	0	0
RPS15AP6	5	2	1	1
RP11-487E1.2	0	0	0	0
RP11-628K18.1	0	0	0	1
AL031005.1	0	0	0	0
ECE1	11225	10743	11986	12184
RP3-329E20.2	0	0	2	0
RP5-1071N3.1	11	17	20	12
PPP1R11P1	1	0	0	0
RP11-293F5.8	0	0	0	0
RP11-293F5.1	0	0	0	0
NBPF2P	45	39	73	50
HS6ST1P1	7	1	0	0
CROCCP5	0	0	0	0
NBPF3	1013	848	1219	1279
PFN1P10	0	0	0	0
ALPL	0	2	3	1
RP11-63N8.3	0	0	0	0
AL359815.1	0	0	0	0
RAP1GAP	338	294	206	236
USP48	5388	4650	5886	7081
RP11-132G19.3	0	0	0	0
LDLRAD2	22	19	12	19
HSPG2	9445	6548	8407	9704
RP11-26H16.1	1	0	0	0
CELA3B	1	0	2	0
RN7SL421P	0	0	0	0
RN7SL386P	0	0	0	0
RNU6-1022P	0	0	0	0
CELA3A	0	0	0	0
RN7SL768P	0	0	0	0
RN7SL186P	0	0	0	0
RNU6-776P	0	0	0	0
RP1-224A6.3	4	7	9	11
LINC00339	651	694	612	587
CDC42	19952	18727	24176	23345
CDC42-IT1	1	1	3	4
RP1-224A6.8	1	1	0	0
RP1-224A6.9	14	13	4	8
WNT4	180	182	119	80
MIR4418	0	0	0	0
RP11-415K20.1	0	0	0	0
ZBTB40	2104	1703	1993	2406
ZBTB40-IT1	19	6	16	30
EPHA8	2	0	2	1
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	0
EPHB2	5347	5417	8366	7934
MIR4684	0	0	0	0
AL611946.1	0	0	0	0
RP11-69E9.1	0	0	0	1
MIR4253	0	0	0	0
RP1-74M1.3	58	39	109	118
LACTBL1	0	0	0	0
C1orf234	16	5	6	5
KDM1A	18094	17682	15129	14346
RP1-184J9.2	1	0	0	1
MIR3115	0	0	0	0
MIR4419A	0	0	0	1
LUZP1	5803	5120	7943	11510
RP5-979D14.1	0	1	1	0
RNU6-514P	0	0	0	1
RNU6-135P	0	0	2	0
HTR1D	228	209	67	114
RP5-1057J7.1	0	0	0	0
RP5-1057J7.6	512	341	417	349
HNRNPR	18354	15549	17519	19445
ZNF436	1089	932	1091	1328
C1orf213	226	233	209	149
RP5-1057J7.7	1	0	3	0
TCEA3	7	15	10	28
RP4-654C18.1	0	0	0	0
ASAP3	379	325	300	1571
E2F2	1636	1537	778	929
RP1-150O5.3	30	33	7	12
ID3	9061	8436	1190	2773
MDS2	1	0	0	0
RP11-223J15.2	0	0	0	0
RPL11	87646	105189	77272	56643
RP5-886K2.1	1	1	0	0
RN7SL532P	5	0	1	1
TCEB3	9373	9506	7437	5687
RP5-886K2.3	119	113	109	83
PITHD1	3718	3433	3217	2163
LYPLA2	7829	9083	8267	4976
GALE	4334	4647	4606	3548
HMGCL	1592	1731	2040	1854
FUCA1	662	629	190	788
CNR2	0	0	1	4
RN7SL24P	0	0	0	0
RP11-4M23.2	0	0	0	0
RP11-4M23.3	0	0	0	0
MIR378F	0	0	0	0
RP11-4M23.4	0	1	0	0
PNRC2	5692	4617	5773	6159
SRSF10	9550	7366	9496	14735
RP11-4M23.7	0	0	0	0
RP11-293P20.2	0	0	0	0
MYOM3	16	14	56	111
RP11-293P20.4	0	0	0	0
IL22RA1	710	725	1038	903
IFNLR1	1174	1023	1523	1400
RP11-10N16.2	2	2	3	5
AL590683.1	0	0	0	0
AL590683.2	0	0	0	0
RP11-10N16.3	3	2	19	11
GRHL3	595	644	496	353
STPG1	1296	1317	1774	1549
NIPAL3	3316	3100	3468	3588
RCAN3	2243	2011	2942	2975
RN7SL857P	0	0	1	0
RP4-594I10.3	1	1	1	2
NCMAP	16	16	17	10
RP11-496D1.2	0	0	1	0
SRRM1	9269	7319	8340	10008
CLIC4	10615	7632	14316	25431
RNU6-1208P	0	0	0	0
RUNX3	896	852	870	791
RP11-84D1.1	7	6	12	29
RP11-84D1.2	0	0	0	0
MIR4425	0	0	0	0
RP4-799D16.1	0	0	0	0
RP4-781L3.1	0	0	0	0
RP4-706G24.1	0	0	0	0
SYF2	3055	3003	2853	2773
C1orf63	2938	2482	3709	2908
RP3-465N24.6	6	5	5	2
RP3-465N24.5	13	6	16	12
RHD	23	11	18	30
SDHDP6	2	0	3	11
RP11-335G20.7	5	1	2	6
TMEM50A	6943	6408	8475	7570
RNU6-1171P	1	1	1	0
RHCE	13	14	30	30
RP3-469D22.1	1	1	2	2
AL031284.1	0	0	0	0
TMEM57	1368	1381	1923	1876
LDLRAP1	3597	3664	3149	2722
RP11-70P17.1	5	5	4	7
MAN1C1	39	33	4	25
RP1-187B23.1	0	0	1	0
SEPN1	5720	5463	6568	6829
RP1-317E23.6	0	0	0	0
RP1-317E23.3	3	5	7	6
MTFR1L	1132	1063	1188	1307
AL020996.1	11	9	8	6
RP1-317E23.7	1	0	1	1
AUNIP	1884	1843	1522	1177
RP1-125I3.2	4	1	3	0
PAQR7	2091	2066	2182	1435
STMN1	27782	31082	32072	28856
SNRPFP2	1	0	0	8
RP1-125I3.4	2	1	5	6
MIR3917	0	0	0	0
AL033528.1	0	0	0	0
PAFAH2	995	1005	915	876
RNU6-110P	0	0	0	1
SCARNA17	11	7	7	5
SCARNA18	0	3	1	8
EXTL1	21	23	18	15
SLC30A2	4	1	0	1
TRIM63	0	0	0	1
AL391650.1	0	0	0	0
PDIK1L	470	314	301	413
FAM110D	3	5	4	3
ZNF593	14	8	6	3
RP11-96L14.7	8	9	4	1
CNKSR1	1810	1586	1764	1399
CATSPER4	3	8	7	0
RP11-231P20.2	3	0	0	0
CEP85	4131	3668	3363	3207
RP11-231P20.5	6	4	12	10
SH3BGRL3	6686	7641	10530	9667
UBXN11	1744	1777	1588	1645
CD52	0	0	0	2
AIM1L	1390	1520	1156	528
RP11-569G9.7	11	3	10	5
RN7SL490P	0	0	0	0
ZNF683	0	0	0	0
LIN28A	0	1	0	0
DHDDS	2211	2153	2335	2246
RP3-476K8.4	4	3	3	2
RP3-476K8.3	10	8	10	17
HMGN2	39882	37436	37988	33076
