gene_name	LSK_F_WT_1	LSK_F_WT_2	LSK_F_KO_1	LSK_F_KO_2
Gm15328	0	0	0	0
1700001G01Rik	0	0	0	0
4921533I20Rik	47	137	119	68
4930545E07Rik	0	0	0	0
Dsc3	0	0	0	0
Dsc2	72	136	59	61
Dsc1	29	112	11	36
Dsg1c	0	0	0	0
Dsg1a	0	0	0	0
Dsg1b	0	0	0	0
Dsg4	0	0	0	0
Dsg3	0	0	0	0
Dsg2	273	186	161	170
Ttr	0	0	0	0
B4galt6	1267	1793	1218	1060
Trappc8	2278	3346	3292	2915
Rnf125	2532	1709	2164	1300
Rnf138	4106	5439	4583	4598
Mep1b	0	0	0	0
Garem	313	567	230	163
Klhl14	13	2	7	0
4930426D05Rik	43	90	17	22
Ccdc178	0	0	0	0
Asxl3	0	0	0	0
Nol4	10	23	29	39
Gm7788	0	0	0	1
Dtna	14	16	37	0
Gm15972	2	10	0	15
Mapre2	10730	9897	10992	10019
Mir6360	0	0	0	0
Zfp397	2768	4746	3397	3775
Zfp35	5418	4786	5375	4187
Zfp191	6223	7486	7814	6773
Ino80c	4497	4956	4907	4576
Galnt1	14151	14860	17012	14500
Mir187	0	0	0	0
2700062C07Rik	937	1071	724	916
Rprd1a	830	1378	845	812
Slc39a6	5348	5364	6276	5476
Elp2	10927	9342	11774	9967
Mocos	105	339	220	286
Fhod3	17	9	0	34
Tpgs2	2005	1701	1910	1713
AW554918	1223	1198	1234	980
Celf4	96	103	64	32
4930474G06Rik	0	0	0	0
4930578E11Rik	0	0	0	0
4930527G23Rik	0	0	0	0
Pik3c3	3994	4550	4360	4492
Rit2	0	0	0	0
Syt4	0	0	0	0
Slc25a46	4064	5260	5152	4309
Sap130	1151	1723	1498	1452
Ammecr1l	4076	5321	4863	4555
Polr2d	5203	4756	4716	4229
Wdr33	7368	7849	9675	8927
Sft2d3	1398	2001	1490	1844
Lims2	0	0	0	0
Gpr17	0	0	0	0
Myo7b	3	0	0	0
Iws1	2988	2628	3116	2741
Proc	0	0	0	0
Map3k2	516	601	506	424
Ercc3	1959	2268	2146	2233
A830052D11Rik	0	4	0	0
Bin1	5268	3819	6476	5208
Gypc	7492	11556	7603	8802
4930455D15Rik	0	4	0	6
Tslp	69	328	62	196
Wdr36	6655	7728	8191	6958
Mir6361	0	0	0	0
Camk4	65	35	60	26
Stard4	1071	1676	1952	1346
Nrep	19	248	133	150
Gm10549	0	0	3	0
Epb4.1l4aos	225	209	212	150
Epb4.1l4a	43	53	62	20
Gm10548	15	58	34	39
Apc	1266	1421	1405	1218
Srp19	2560	2697	2191	2208
Reep5	6268	7085	6563	5759
Pkd2l2	344	497	334	430
Fam13b	2624	3748	3108	3096
Wnt8a	0	0	0	0
Nme5	5	4	12	2
4933408B17Rik	12	12	0	14
Brd8	11816	10594	13201	11921
Kif20a	6212	4797	7239	7191
Cdc23	8677	9787	9837	10239
Gfra3	0	0	0	0
Cdc25c	1291	1346	1415	1378
Fam53c	6815	6826	7802	6848
Kdm3b	4188	4736	4945	5345
Reep2	212	253	448	149
Egr1	1575	9589	1603	5754
Etf1	5943	5511	7648	6241
Hspa9	26848	21754	30257	25286
Ctnna1	7722	7390	7229	7465
Lrrtm2	6	7	39	4
Sil1	5477	4613	5517	4499
Snhg4	696	663	616	613
Mir1949	9	19	5	19
Snora74a	4	3	0	1
Matr3	19560	23617	23645	23470
Paip2	37694	43440	30814	40899
Slc23a1	35	55	6	49
Mzb1	139	191	215	44
Prob1	37	105	108	24
Spata24	503	555	568	428
Dnajc18	1273	1642	1407	1214
Ecscr	230	280	284	202
1700066B19Rik	118	99	148	126
Tmem173	8840	10612	10172	9775
Ube2d2a	3067	3586	3257	2752
Cxxc5	17725	18096	16818	14918
Psd2	0	5	0	0
Nrg2	229	95	522	389
4930471G03Rik	0	0	0	0
Pura	4449	4500	3289	3541
Igip	75	72	39	26
Cystm1	0	5	6	4
Pfdn1	1740	1763	1669	1569
Hbegf	341	374	264	332
Slc4a9	0	0	0	0
Ankhd1	5156	5538	5074	4606
Eif4ebp3	124	170	136	117
Sra1	1824	2379	1949	1808
Apbb3	1902	2892	1804	1799
Slc35a4	14829	11526	14963	12599
E230025N22Rik	0	3	8	0
Cd14	285	398	544	237
Tmco6	2389	3414	2782	3092
Ndufa2	1759	1794	1776	1802
Ik	6706	6198	6853	5943
Wdr55	3565	3216	3180	2827
Dnd1	327	490	242	276
Hars	7698	7058	6297	6213
Hars2	4096	5210	3829	3671
Zmat2	4998	4673	4074	4372
Vaultrc5	2	2	0	6
Gm6756	3	5	6	3
Pcdha1	0	0	0	0
Pcdha2	0	0	0	0
Pcdha3	0	0	0	0
Gm37013	0	0	0	0
Pcdha4	0	0	0	0
Pcdha5	0	0	0	0
Gm38666	0	0	0	0
Pcdha6	0	0	0	0
Pcdha7-g	0	0	0	0
Pcdha7	0	0	0	0
Pcdha8	0	36	0	0
Pcdha9	2	0	0	5
Pcdha10	0	0	0	0
Pcdha11	0	0	0	0
Pcdha12	0	0	0	0
Pcdhac1	0	0	0	0
Pcdhac2	0	14	9	6
Pcdhb1	0	1	0	0
Pcdhb2	15	0	0	0
Pcdhb3	16	6	0	0
Pcdhb4	12	63	7	58
Pcdhb5	7	43	32	82
Pcdhb6	0	1	0	0
Pcdhb7	31	50	44	60
Pcdhb8	7	0	0	0
Pcdhb9	3	17	8	0
Pcdhb10	0	0	1	0
Pcdhb11	0	1	17	11
Pcdhb12	59	39	35	23
Pcdhb13	2	7	0	0
Pcdhb14	9	27	6	21
Pcdhb15	11	1	8	0
Pcdhb16	122	40	83	134
Pcdhb17	34	70	44	28
Pcdhb18	0	0	0	0
Pcdhb19	17	21	4	49
Pcdhb20	6	5	9	0
Pcdhb21	38	23	25	50
Pcdhb22	27	79	58	40
Slc25a2	0	0	0	2
Taf7	1858	1882	1716	1546
Pcdhga1	20	24	17	35
Pcdhga2	5	6	0	0
Pcdhga3	0	4	30	5
Pcdhgb1	3	5	0	5
Pcdhga4	16	16	37	30
Pcdhgb2	7	29	22	22
Pcdhga5	54	95	68	107
Pcdhga6	61	19	14	34
Pcdhga7	96	219	99	144
Pcdhgb4	107	187	78	111
Pcdhga8	48	70	40	29
Pcdhgb5	41	81	102	121
Pcdhga9	43	33	25	38
Pcdhgb6	69	135	219	208
Pcdhga10	9	66	47	56
Pcdhgb7	67	170	102	126
Pcdhga11	3	19	2	15
Pcdhgb8	15	46	13	51
Pcdhga12	39	64	41	46
Pcdhgc3	28	28	157	132
Pcdhgc4	31	100	86	78
Pcdhgc5	3	6	0	4
Diap1	3061	4190	3162	3001
Mir6979	0	1	0	0
Hdac3	11174	10627	11171	9691
Rell2	491	449	363	380
Fchsd1	1416	2347	1498	1836
Arap3	769	1345	851	638
Mir6981	0	1	0	0
Mir6980	0	0	0	0
Pcdh1	0	14	12	6
1700086O06Rik	120	188	96	142
0610009O20Rik	2879	2809	2757	2902
Pcdh12	0	2	0	0
Rnf14	8546	11514	8225	8341
Gnpda1	1695	2062	1776	1964
Ndfip1	7419	9499	6860	6566
Spry4	3	58	20	8
Fgf1	26	22	0	0
Gm5820	1	0	0	0
Arhgap26	930	1031	1648	1252
Nr3c1	3925	5120	4948	4904
Pabpc2	0	0	0	0
Yipf5	2661	3066	2568	2379
2900055J20Rik	0	0	0	0
Kctd16	0	0	0	0
Prelid2	504	745	390	455
Grxcr2	0	0	0	0
Sh3rf2	7	45	30	24
Plac8l1	0	0	0	0
Lars	10468	7968	11514	9033
Gm4013	95	152	47	85
Rbm27	2061	2114	2290	1978
Pou4f3	0	0	0	0
Tcerg1	11896	8269	13946	9352
Gpr151	2	0	0	0
Ppp2r2b	470	127	140	97
Stk32a	46	24	0	18
Dpysl3	16	18	37	5
Jakmip2	0	0	4	0
Spink1	0	0	0	0
Scgb3a2	1	0	0	0
Gm94	0	0	0	0
Spink5	0	0	0	0
Spink14	0	0	0	0
Spink6	0	0	0	0
Spink12	0	0	0	0
Gm10267	0	0	0	0
Spinkl	0	0	0	0
Spink11	0	0	0	0
Npy6r	0	0	0	0
Myot	0	0	0	0
Dcp2	796	740	699	686
Mcc	54	85	59	33
A930012L18Rik	0	0	0	0
Ythdc2	763	699	808	613
Kcnn2	0	0	6	0
A330093E20Rik	0	0	0	0
Trim36	40	39	95	52
Pggt1b	1142	1415	1309	1184
Ccdc112	726	925	768	583
Mospd4	5	0	0	2
Fem1c	2335	2917	2975	2674
Ticam2	2375	2334	2813	2366
Tmed7	10000	12617	13427	11510
Eif1a	11466	11333	13081	10382
Cdo1	5	1	0	1
Atg12	3650	5527	4525	4671
Ap3s1	726	620	1403	1150
Lvrn	13	3	6	5
Arl14epl	0	0	0	0
Commd10	3165	2684	5443	4919
Sema6a	0	0	0	15
9130209A04Rik	0	0	0	0
Gm5095	0	0	0	0
G630055G22Rik	0	0	0	0
Eno1b	2108	806	2427	1981
1700044K03Rik	0	0	0	0
Dtwd2	762	946	1189	702
1700065O20Rik	0	0	0	0
Dmxl1	703	988	589	1006
Tnfaip8	17037	17086	12760	12840
Hsd17b4	6401	5951	7355	6818
Fam170a	0	0	0	0
Hdhd1a	0	0	0	0
Prr16	1	2	0	0
Mir28a	0	0	0	0
Ftmt	0	0	0	0
Srfbp1	2400	2913	2444	2384
Lox	0	0	11	0
Zfp474	0	0	0	0
1700034E13Rik	0	0	0	0
Gykl1	0	0	0	0
Sncaip	125	236	140	142
Mir467f	0	0	0	0
Snx2	5766	6823	6111	6220
Snx24	644	730	476	406
Ppic	3205	4272	3430	3597
Prdm6	0	0	0	0
Gm19466	0	0	5	0
Cep120	3973	4309	3760	3974
Csnk1g3	3063	3877	3667	3566
Redrum	0	0	0	5
9330117O12Rik	0	0	0	0
Zfp608	4837	7441	4480	5027
Gramd3	1341	1449	1266	1211
Aldh7a1	2900	2903	2957	3156
Mir1258	0	0	0	0
Phax	3910	4220	3930	3653
Tex43	0	0	0	0
Lmnb1	12295	8528	18294	14978
March3	226	370	171	201
Gm10536	1	27	0	11
C330018D20Rik	671	1223	558	608
Megf10	2	0	0	0
Prrc1	4381	4208	5347	3969
Ctxn3	0	0	0	0
1700066O22Rik	0	0	0	0
1700011I03Rik	0	0	0	0
4930511M06Rik	0	0	0	0
2210409D07Rik	1	1	0	0
Slc12a2	1331	1744	1010	1337
Fbn2	0	0	3	10
Slc27a6	1106	2131	1190	1411
Isoc1	13191	10825	14079	12703
Adamts19	0	0	0	0
A730017C20Rik	0	0	0	0
Chsy3	10	61	65	26
Mir6355	0	0	0	0
Gm4951	200	175	641	870
Gm4841	93	398	189	305
F830016B08Rik	71	126	112	146
Iigp1	1053	2191	3247	2279
Smim3	4533	5232	4666	3662
Dctn4	3950	5613	4610	4508
Rbm22	7958	7197	8974	8041
Myoz3	0	0	0	0
Synpo	71	145	108	115
G630071F17Rik	0	0	0	3
Ndst1	3237	3538	5440	3161
Rps14	5494	7983	6844	6325
Cd74	4649	7578	8407	6019
Mir5107	0	4	11	0
Tcof1	17763	11738	20193	16278
Arsi	0	0	6	0
Camk2a	1550	1478	1756	1354
Mir7220	0	0	0	0
Mir6982	0	0	0	0
Slc6a7	0	3	0	0
Cdx1	0	0	0	0
Pdgfrb	4355	4470	7026	4830
Csf1r	1485	804	4383	1991
Mir6983	0	0	0	0
Hmgxb3	3972	3917	5715	4001
Slc26a2	1016	1121	1460	939
Pde6a	0	0	0	0
Ppargc1b	1713	1342	1533	1112
A530050N04Rik	0	0	0	0
Arhgef37	4	3	0	0
Csnk1a1	17826	20511	20630	18287
Bvht	0	7	6	1
Mir143hg	0	0	0	0
Mir145a	0	0	0	0
Mir143	0	0	0	0
Il17b	0	0	0	0
Pcyox1l	3147	1577	3344	2146
Grpel2	1853	2022	1889	1754
1500015A07Rik	219	516	196	419
Afap1l1	15503	15740	19617	14974
Ablim3	1	20	26	28
Sh3tc2	84	430	0	122
Adrb2	2373	4342	1655	1727
Htr4	0	0	0	0
Fbxo38	6017	6220	6497	6645
Spink10	3	3	0	3
Spink7	0	0	0	0
Spink13	0	0	0	0
2700046A07Rik	16	37	47	31
Apcdd1	318	411	524	405
Napg	1548	1939	1634	1884
Piezo2	0	0	0	0
Txnl1	9847	11498	10349	9711
Wdr7	752	1218	1348	1282
St8sia3os	0	0	0	0
St8sia3	0	0	0	0
Onecut2	0	0	0	0
Fech	5561	6638	5000	5123
Nars	16614	11908	15293	12755
Atp8b1	25	50	8	40
Nedd4l	2746	2744	2871	2216
Mir466p	0	0	0	0
Mir122	0	0	0	0
Alpk2	47	14	25	31
Malt1	1216	1574	1543	1577
Zfp532	1455	2161	1246	1393
Oacyl	0	0	0	0
Sec11c	4760	5737	4401	3991
Grp	0	4	0	0
Rax	0	0	0	0
Cplx4	0	0	0	0
Lman1	8645	9128	10421	8936
Ccbe1	0	0	0	0
Mir694	0	0	0	0
Pmaip1	67	34	160	132
Gm9926	0	0	0	0
Mc4r	0	0	0	0
Gm19784	0	0	0	0
Gnal	617	820	543	531
Chmp1b	3042	3817	2627	3027
Mppe1	2179	2419	1923	1943
Impa2	6008	5579	6209	5734
B430212C06Rik	171	120	93	67
Cidea	0	0	0	0
Tubb6	2046	703	1686	1105
Afg3l2	8686	9033	8617	6856
Slmo1	40	55	19	14
Spire1	1587	1946	692	897
Cep76	1421	1351	1520	1281
Psmg2	4105	4037	3869	3626
Ptpn2	4981	5953	4786	5022
Seh1l	8068	8154	8411	7778
4930549G23Rik	15	19	0	28
Cep192	2248	2640	3073	2836
Ldlrad4	630	785	598	709
Fam210a	2328	2926	2741	2545
Mir7219	0	0	0	0
Rnmt	6345	6586	6182	6240
Mc5r	1266	1382	1135	1574
Mc2r	0	6	0	14
Mir6356	0	0	0	0
4930546C10Rik	0	0	0	0
Mir145b	0	0	0	0
Tcf4	8541	8650	8420	8985
Ccdc68	13	18	0	10
Rab27b	972	1661	1096	1052
Dynap	0	0	0	0
4930503L19Rik	1131	1119	1244	1285
Stard6	17	59	31	17
Poli	3325	4562	3120	3717
Mir6357	0	0	0	0
Mbd2	8456	8838	8271	8085
Dcc	0	0	0	0
Mex3c	4208	4654	5013	4159
Smad4	9378	10826	10669	9494
Elac1	1806	2493	1935	1902
Me2	8174	6359	8500	7524
Mro	0	0	0	0
Mapk4	34	33	35	6
D730045A05Rik	0	0	0	0
Ska1	840	972	1089	926
Cxxc1	9993	10111	9439	9114
Mbd1	4630	5568	5792	5430
Cfap53	0	5	0	3
Myo5b	0	31	7	34
1700120E14Rik	0	0	0	0
Scarna17	4	10	7	3
Acaa2	7122	8661	7214	8050
Lipg	0	0	0	9
9030625G05Rik	0	0	0	0
Rpl17	147	107	111	87
BC031181	2055	2045	1793	1647
Dym	6159	6075	6507	5999
2010010A06Rik	7	0	0	2
Smad7	3289	4457	3014	2860
Ctif	78	86	93	79
Gm10532	0	0	0	0
Zbtb7c	0	0	0	1
2900057B20Rik	0	0	0	0
Mir6358	0	0	0	0
Smad2	5597	5510	5419	5019
Skor2	0	0	0	0
Ier3ip1	2992	2880	2433	2677
Hdhd2	3153	2892	2986	3065
Katnal2	24	13	12	36
Pias2	4387	4682	4781	4009
St8sia5	0	0	0	6
Loxhd1	0	0	0	0
Rnf165	0	11	0	0
8030462N17Rik	537	1074	569	536
4930465K10Rik	11	8	16	22
Haus1	3238	3361	4080	3607
Atp5a1	72682	68377	81330	74320
Pstpip2	321	399	304	376
Epg5	739	1037	1179	1242
Siglec15	16	10	0	5
Slc14a1	5421	7978	6706	7321
Slc14a2	8	8	4	3
Setbp1	39	107	70	39
Pard6g	2207	1974	2219	1874
Adnp2	2918	3504	4219	3754
LOC105246506	28	33	32	26
Rbfa	2760	2302	2914	2791
Txnl4a	28829	26544	28341	25505
Hsbp1l1	2	32	8	15
Pqlc1	7074	11738	6016	6432
Kcng2	137	231	172	134
Ctdp1	5420	3498	5821	4679
Gm2176	0	0	0	0
Nfatc1	9770	8803	10165	9048
Atp9b	4806	5387	6140	5029
Sall3	0	0	0	0
Mir5127	0	0	0	0
Galr1	0	0	0	0
Mbp	6063	7740	7445	6385
Zfp236	766	914	753	737
Mir5112	0	0	0	0
2210420H20Rik	1	0	0	0
4930445N18Rik	0	7	5	9
Zfp516	943	1080	1051	906
4930592I03Rik	0	0	0	0
4921531P14Rik	0	0	0	0
Tshz1	3401	3963	4241	3024
Zadh2	1589	2049	1817	1692
Zfp407	847	954	990	758
Cndp1	0	0	0	0
Cndp2	3975	3039	4693	3497
Fam69c	0	0	0	0
Cyb5a	5586	5172	4120	3894
Fbxo15	0	2	0	0
Timm21	2853	3575	2525	2555
Neto1	0	0	0	0
Cbln2	0	0	0	0
Socs6	2246	2309	2153	1847
Rttn	600	936	956	1049
Mir6359	0	0	0	0
Cd226	12	40	57	9
Dok6	6	41	18	11
Tmx3	2781	4903	3946	4457
1700030N03Rik	0	0	0	0
Ighmbp2	1901	2123	2623	2224
Mrpl21	882	735	829	780
Mir6984	0	0	0	4
Cpt1a	13044	16953	13349	15719
Mtl5	627	513	517	500
Gal	0	0	0	0
Ppp6r3	5156	6107	7247	6663
Lrp5	1713	1660	1830	1050
1810055G02Rik	1028	627	914	394
Suv420h1	2965	4256	3277	3286
Chka	4823	3198	4592	2567
Tcirg1	7675	10725	9765	8563
Ndufs8	6138	5900	6869	5741
Aldh3b1	77	162	195	66
Unc93b1	10858	12638	17139	12421
Aldh3b3	0	0	0	0
Aldh3b2	5	2	0	0
Acy3	491	832	514	761
Tbx10	0	0	0	0
Nudt8	1466	1737	1452	1202
Doc2g	481	579	421	324
Ndufv1	11174	9866	12122	10400
Gstp1	2076	2264	1957	1909
Gstp2	10	10	9	0
BC021614	9	25	22	4
Cabp2	0	0	0	0
Cdk2ap2	5474	5319	5600	4972
Pitpnm1	3782	4944	4439	3683
Aip	7214	7919	7473	7418
Tmem134	3645	3728	3225	3306
Cabp4	0	3	0	6
Gpr152	0	1	9	1
Coro1b	19286	21713	20320	19110
Ptprcap	18860	22362	19567	18899
Rps6kb2	3053	3891	3074	2532
Carns1	1912	2719	1775	1834
Tbc1d10c	17874	18488	15263	14400
Ppp1ca	36162	34311	36956	33128
Rad9a	4498	3876	4070	3354
Clcf1	1626	1724	1297	1025
Clcf1-pold4	0	0	0	0
Pold4	183	314	181	215
Ssh3	706	1045	721	686
Mir6985	0	0	0	0
Ankrd13d	1357	1693	942	921
Adrbk1	33350	33960	35154	32838
Kdm2a	8725	9266	9471	8333
Rhod	200	287	216	133
A930001C03Rik	0	12	1	5
Syt12	14	11	6	0
2010003K11Rik	0	0	0	0
Pcx	1021	769	635	650
Lrfn4	2430	2091	2463	2278
Rce1	3527	3648	3292	3136
Mir6986	5	7	13	6
Gm960	27	51	7	23
Sptbn2	36	32	15	38
Rbm4b	1459	1827	1241	1617
Gm21992	0	0	0	0
Rbm4	90	56	67	89
Rbm14	10227	7975	11365	10497
Ccs	2332	2222	2136	2023
Ccdc87	0	0	0	0
Ctsf	3930	6949	2784	4116
Actn3	32	41	25	19
Zdhhc24	2072	2301	2252	2340
Bbs1	637	767	1006	907
Dpp3	13068	12495	13091	12102
Peli3	44	14	6	5
Mrpl11	2269	2687	2693	2412
Npas4	0	0	0	0
Slc29a2	1111	975	991	716
B4gat1	1650	2131	1884	1679
Brms1	4827	4535	4631	4147
Rin1	104	67	127	31
Cd248	91	173	99	42
Tmem151a	0	4	0	0
Yif1a	2994	3483	3014	3360
Cnih2	64	36	84	51
Rab1b	19958	17249	20058	18502
Klc2	559	692	680	492
Pacs1	8404	9258	10150	9677
Sf3b2	38007	30627	41395	35866
Gal3st3	77	49	12	51
Catsper1	0	0	0	0
Cst6	8	31	7	34
Banf1	10258	9185	10945	9259
Eif1ad	7080	5622	7213	6253
Sart1	10207	8233	9966	9817
D330050I16Rik	121	137	262	193
4930481A15Rik	458	669	560	725
Drap1	7719	6888	6776	6098
AI837181	3045	3508	2920	2911
Fosl1	8	0	10	0
Ccdc85b	1589	1580	1335	1365
Fibp	3358	4229	3965	3180
Ctsw	1262	1816	1213	1024
Efemp2	33	59	31	29
Mus81	2004	2579	1918	1898
Cfl1	56769	42357	57501	48291
Snx32	646	1272	602	607
1700020D05Rik	0	0	0	6
Ovol1	23	62	6	34
Ap5b1	1126	1822	1446	1514
Rnaseh2c	2057	1903	2354	1865
Kat5	5621	5748	5215	5054
Rela	14033	13688	15372	13298
Sipa1	17708	17520	19491	15170
Pcnxl3	4768	6007	7263	5629
Mir6987	0	0	0	0
Map3k11	12291	11821	13197	11647
Kcnk7	0	0	0	3
Ehbp1l1	7036	7227	7171	6665
Fam89b	5196	5825	5235	4696
Sssca1	1830	1801	1836	1563
Ltbp3	8132	9250	7107	5784
Scyl1	6692	6292	6399	5484
Malat1	46189	89262	29214	31460
Neat1	2703	8345	3075	3612
Frmd8	15809	17268	16638	15399
Slc25a45	6814	8923	5519	6344
Tigd3	775	690	589	631
Dpf2	12640	13406	13671	12966
Cdc42ep2	16	18	5	3
Pola2	10111	8835	11560	11098
Slc22a20	0	0	0	0
Capn1	3721	4586	5216	4358
Gm10814	1	30	3	1
Syvn1	4951	5573	5333	4702
Mir6988	0	7	0	0
Mrpl49	3286	3141	3093	2872
Fau	46	52	37	30
Znhit2	2002	2065	2323	2447
Tm7sf2	316	514	333	292
Vps51	5722	6571	5621	5483
BC048609	1	9	0	0
Zfpl1	3437	4000	3047	3944
Cdca5	4567	3762	5466	4919
Naaladl1	73	21	49	17
Sac3d1	3785	3037	3884	3112
Snx15	3366	3111	3107	2926
Arl2	2898	2688	2820	2486
Batf2	439	607	719	567
1700123I01Rik	23	6	18	5
Gpha2	3	4	0	12
Ppp2r5b	691	1409	659	724
Atg2a	4479	5118	5074	5474
Mir194-2	0	0	0	0
Mir192	0	0	0	0
Ehd1	3736	3801	4217	3262
Cdc42bpg	191	171	85	134
Men1	13014	12067	12133	12200
Map4k2	7084	10525	6853	7192
Sf1	24923	20003	28983	24761
Pygm	2366	2148	1566	1051
Rasgrp2	7207	6624	8219	7299
Nrxn2	140	220	116	69
Slc22a12	15	5	30	12
Rps6ka4	2829	2784	2478	2149
Mir5046	0	0	0	0
Ccdc88b	3492	4083	3940	3370
Prdx5	6061	5724	6208	5105
Trmt112	1423	1274	1323	1319
Esrra	1687	1770	2220	1708
Mir6990	16	14	0	1
Tex40	12	25	19	15
Kcnk4	0	7	0	0
Gpr137	1538	2484	1680	1858
Bad	1943	2025	1850	1870
Plcb3	4116	4327	4870	4260
Ppp1r14b	2732	2147	2681	2192
Fkbp2	2395	1508	2182	1576
Vegfb	3555	2829	3027	2897
Dnajc4	675	1107	553	673
Nudt22	552	875	546	598
Trpt1	102	124	131	92
Fermt3	41789	41313	44454	41082
Stip1	19564	15699	19587	17783
Macrod1	5907	4536	5760	5966
Flrt1	8	6	0	0
Otub1	7133	6436	7302	6005
Cox8a	3630	3499	3972	3986
Naa40	10991	10005	13147	11552
Rcor2	3177	2871	2529	2360
Mark2	10084	10325	10362	9495
AI846148	2435	2731	2448	2187
1700105P06Rik	4	6	4	3
2700081O15Rik	1384	1499	776	890
Mir6991	1	7	0	6
Rtn3	12115	13879	14951	14110
Snord118	3	0	0	2
Atl3	790	793	1068	811
Pla2g16	2556	3927	2808	2898
Lgals12	15	0	0	0
Hrasls5	0	0	0	0
Slc22a19	0	0	0	0
Slc22a26	0	0	1	0
Slc22a27	0	0	0	0
Slc22a28	0	7	0	0
Slc22a29	0	2	0	0
Slc22a30	0	0	0	0
Slc22a8	12	19	0	6
Slc22a6	0	0	0	0
9830166K06Rik	11	11	13	0
Chrm1	23	10	2	3
Slc3a2	14724	13062	14169	10233
Snhg1	749	871	815	559
Snord22	68	83	71	45
Wdr74	4617	4238	4814	3973
1700092M07Rik	31	9	18	9
Stx5a	7248	10320	7029	7706
Mir6992	68	23	58	20
Nxf1	12496	14673	13574	11825
Tmem223	1830	2757	2290	2321
Tmem179b	1802	2510	1758	2025
Taf6l	1405	1466	1424	1410
Gm2518	16	21	6	13
Polr2g	3565	3617	3328	3303
Zbtb3	325	377	403	470
Ttc9c	3690	4253	3721	3158
Hnrnpul2	1267	1129	1957	1339
Gng3	15	23	8	23
Bscl2	5993	6547	6702	6486
Lrrn4cl	0	0	4	0
Ubxn1	6093	6332	6606	5836
Uqcc3	1286	1702	1173	1068
Lbhd1	0	0	0	0
5730408K05Rik	26	55	46	58
Mir5136	0	0	0	0
1810009A15Rik	11	34	11	7
Ints5	5617	4970	7308	5803
Ganab	12356	14023	15641	13306
B3gat3	3103	3646	3131	2941
Rom1	494	657	501	504
Eml3	6426	8041	7489	6952
Mta2	26919	27770	30157	26604
Tut1	7890	6612	7352	5978
Eef1g	1612	1946	1943	1842
Ahnak	293	379	195	183
Mir6367	0	0	0	0
Scgb1a1	0	0	0	0
Asrgl1	4147	3948	4636	4401
Stxbp3-ps	307	508	361	344
Incenp	9968	7755	13852	10433
Fth1	50092	56821	48741	46757
Best1	128	131	101	110
Rab3il1	2345	2332	2783	2221
Fads3	1469	1613	1470	1067
Fads2	4983	3294	5606	4101
Fads1	8327	8460	9511	8828
Mir6993	0	0	0	0
Fen1	18047	13494	18989	17035
Tmem258	1669	1749	1711	1414
Myrf	0	28	15	3
Dagla	0	19	16	43
Syt7	4	0	0	0
Lrrc10b	8	5	0	8
Ppp1r32	0	0	0	0
Sdhaf2	3244	4664	3046	3068
Cpsf7	3353	3814	3469	3151
Tmem216	1105	1359	915	1069
Tmem138	2232	2766	2356	2442
Cyb561a3	6211	8348	8326	8848
Tkfc	994	1002	1012	1087
Ddb1	31592	29977	39826	34245
Vwce	18	0	4	3
4930524O05Rik	0	0	0	0
Pga5	2	0	0	0
2210404E10Rik	0	0	0	0
Vps37c	6112	5460	6428	5354
Cd5	137	86	117	83
A430093F15Rik	0	1	0	0
Cd6	1184	488	724	485
Slc15a3	10	5	12	10
Tmem132a	346	601	592	399
Tmem109	4410	3656	4566	3476
Prpf19	13329	10921	15771	13331
Zp1	5	10	0	6
Ptgdr2	9	12	18	0
Ccdc86	4089	3352	4265	3211
Ms4a10	0	0	0	0
Ms4a15	0	2	0	0
Ms4a18	0	0	0	0
AW112010	2339	3845	2594	2732
Ms4a8a	0	1	0	1
1700017D01Rik	0	0	0	0
1700025F22Rik	0	0	0	0
Ms4a13	0	0	0	0
4930526L06Rik	3	0	0	3
Ms4a1	10	44	0	14
Ms4a5	0	0	0	0
Ms4a7	3	35	0	0
Ms4a4c	23	61	159	155
Ms4a4b	41	118	227	212
Ms4a6c	570	885	2047	1612
Gm8369	0	1	0	8
Ms4a6b	1259	2140	2233	2788
Ms4a4d	4	2	0	0
Ms4a6d	45	47	46	64
Ms4a2	59	75	234	135
Ms4a3	743	296	2481	1059
Oosp2	2	4	12	0
Oosp1	14	8	27	22
Oosp3	0	0	0	0
Gif	0	0	0	0
Mrpl16	2477	2223	2804	2152
Stx3	1320	1765	1366	1385
Olfr1417	2	5	9	0
Olfr1418	0	0	0	0
Olfr1419	0	0	0	0
Olfr1420	6	3	0	0
Patl1	2755	2482	2925	2566
Mir6994	0	9	0	0
Osbp	7582	8437	8805	8304
Olfr1423	0	0	0	0
Olfr1424	0	0	0	0
Mir466f-1	0	0	0	0
Olfr1425	0	0	0	0
Olfr1426	0	0	0	0
Olfr1427	0	0	0	0
Olfr1428	0	0	0	0
Olfr76	0	0	0	0
Olfr1431	0	0	0	0
Olfr1432	0	0	0	0
Olfr262	0	0	0	0
Olfr235	0	0	0	0
Olfr1434	0	0	0	0
Olfr1436	0	0	0	0
Olfr1437	0	0	0	0
Olfr1440	0	0	0	0
Olfr1441	0	0	0	0
Pfpl	0	0	0	0
Mpeg1	279	252	770	747
Dtx4	1352	955	2576	1927
Fam111a	8412	7367	9446	9767
A330040F15Rik	16	69	19	35
Gm4952	0	0	0	0
