	A567T09	A567T10	A567T13	A567T14
RP13-614K11.2	0	0	0	0
RP11-374C13.1	0	0	0	0
RP5-1166F10.1	0	0	0	0
RP1-37J18.1	0	0	0	0
RP1-37J18.2	0	0	0	0
AJAP1	809	1450	908	712
RP11-542C10.1	0	0	0	0
RP1-58B11.1	0	0	0	0
MIR4417	0	0	0	0
RP11-154H17.1	0	0	0	0
AL356693.1	0	0	0	0
MIR4689	5	3	0	0
NPHP4	1839	2115	1870	1669
AL356261.1	6	1	7	0
KCNAB2	1438	765	1084	1055
AL035406.1	0	0	0	0
CHD5	7	17	11	7
RPL22	30286	32083	31313	30603
RP1-120G22.11	25	15	31	31
RNF207	1049	1595	980	886
ICMT	9663	13851	11073	9594
LINC00337	22	35	42	37
HES3	0	0	0	0
GPR153	470	454	582	570
ACOT7	8126	9516	11188	10985
RP1-202O8.3	0	0	0	0
HES2	271	63	62	57
ESPN	7	6	18	16
MIR4252	0	0	0	0
RP1-202O8.2	0	0	0	0
TNFRSF25	662	741	797	718
PLEKHG5	2069	1729	1510	1231
NOL9	1448	1936	2209	2301
RNU6-731P	0	1	0	0
RP11-58A11.2	15	9	10	12
TAS1R1	10	9	8	5
ZBTB48	1022	1249	1403	1318
KLHL21	3551	2691	2028	1727
PHF13	2991	3606	3546	2997
THAP3	992	1075	1142	1186
DNAJC11	3065	4171	2994	2329
RP11-242F24.1	0	0	0	0
snoU13	829	822	376	316
RP11-312B8.1	18	24	21	25
CAMTA1	2422	2342	2570	2580
RP11-312B8.2	1	1	0	0
RP11-334N17.1	0	0	0	0
RNU1-8P	0	0	0	0
CAMTA1-IT1	6	0	4	1
RP3-453P22.2	0	0	0	0
RP4-549F15.1	0	0	0	0
RP11-338N10.1	0	0	0	0
RP11-338N10.2	0	0	0	0
RP11-338N10.3	0	0	0	0
VAMP3	9069	10332	8478	7275
RP3-467L1.6	33	67	27	24
PER3	643	406	148	138
RP3-467L1.4	9	4	3	7
UTS2	0	1	1	3
TNFRSF9	152	213	191	138
RP5-892F13.2	0	0	0	0
PARK7	14100	16632	20541	21204
Y_RNA	1777	1716	890	807
ERRFI1	29911	38252	19011	14876
RP11-431K24.1	48	56	36	48
CTA-215D11.4	3	1	1	0
RP11-431K24.2	1	3	1	4
RNU1-7P	1	0	1	0
RP11-431K24.3	9	10	22	18
RP11-431K24.4	0	1	1	1
RN7SL729P	0	0	0	0
RNU6-991P	0	0	0	0
SLC45A1	458	473	743	686
RERE	8478	7956	5742	4816
RP5-1115A15.1	12	6	12	3
SNORA77	10	22	19	13
RP5-1115A15.2	0	3	3	7
RP4-633I8.1	0	0	0	0
RP4-633I8.2	0	1	0	0
RP4-633I8.3	0	0	0	0
RP4-633I8.4	0	1	0	1
RP11-185B14.1	0	0	0	0
ENO1	193831	256624	297701	294122
ENO1-IT1	83	96	61	39
ENO1-AS1	17	15	22	21
RNU6-304P	0	0	0	0
HMGN2P17	2	1	0	0
RP3-477M7.5	0	0	1	0
RP3-477M7.6	0	0	0	0
CA6	2	1	2	0
RN7SL451P	0	0	0	0
SLC2A7	1	1	2	0
SLC2A5	65	116	190	163
SCARNA16	2	0	1	0
GPR157	575	765	888	780
MIR34A	4	8	9	7
RP3-510D11.1	2	1	4	2
RP3-510D11.2	16	2	34	26
H6PD	5814	4274	5540	4652
Z98044.1	1	0	0	0
SPSB1	831	754	900	737
RNA5SP40	0	0	0	0
RP13-392I16.1	0	0	0	0
SLC25A33	487	569	464	382
RP13-15M17.1	17	19	6	4
TMEM201	1869	2580	2681	2298
PIK3CD	1633	1592	1662	1517
C1orf200	0	0	0	0
RP11-558F24.2	0	0	0	0
RP11-558F24.4	104	59	171	165
CLSTN1	23969	23432	26609	22490
RP11-558F24.6	0	0	0	1
CTNNBIP1	861	586	753	662
RP11-84A14.5	0	0	0	0
LZIC	1752	2141	1815	1676
RP11-84A14.4	25	18	29	29
NMNAT1	828	1023	797	646
RN7SKP269	5	15	20	13
MIR5697	0	0	0	1
RP11-807G9.2	0	0	0	0
RBP7	12	12	4	6
AL590639.1	0	0	0	0
UBE4B	6363	7049	6009	4919
RP11-496H15.2	1	0	2	0
PGAM1P11	8	5	3	5
RNU6-828P	5	0	0	0
KIF1B	8511	9586	5406	4556
MIR1273D	0	0	0	0
RNU6-37P	1	1	0	0
RN7SL731P	0	0	0	0
RN7SL721P	1	4	5	4
PGD	6591	6823	8206	7532
RP4-736L20.3	0	5	4	4
APITD1	313	455	436	390
APITD1-CORT	0	0	0	0
CORT	9	16	18	28
DFFA	5121	6257	5482	4741
RP5-1113E3.3	0	0	0	0
PEX14	1586	1726	2100	2018
RN7SL614P	3	1	0	0
CASZ1	218	229	162	156
RP4-734G22.3	24	22	51	43
RP11-340B24.3	0	0	0	0
C1orf127	0	2	1	0
CFL1P6	3	1	0	0
AL713997.1	0	0	0	0
TARDBP	14306	23471	14200	12330
MASP2	222	179	59	39
RP4-635E18.8	151	162	170	195
SRM	4560	7254	7223	7669
EXOSC10	6564	8173	7322	6327
RP4-635E18.7	12	35	27	16
RP4-635E18.6	8	18	23	28
MTOR	8030	9419	6006	4340
MTOR-AS1	4	1	0	0
RNU6-537P	0	0	0	1
ANGPTL7	0	2	2	0
RNU6-291P	4	1	0	0
RPL39P6	1	1	0	0
UBIAD1	1291	1601	1285	1136
UBE2V2P3	21	8	0	1
RP11-149P14.1	0	0	0	0
PTCHD2	19	22	14	22
RP1-69M21.2	1	0	2	1
FBXO2	436	224	371	342
FBXO44	1271	1272	1628	1482
FBXO6	195	203	309	313
MAD2L2	3111	3172	3928	4167
DRAXIN	12	5	11	10
AGTRAP	3551	3487	4710	4907
C1orf167	0	0	0	0
RP11-56N19.5	1	0	0	0
MTHFR	854	626	649	549
CLCN6	1932	1818	1295	1135
NPPA-AS1	25	31	22	34
NPPA	7	9	8	6
NPPB	0	0	0	0
RP5-934G17.6	0	0	0	0
RNU5E-1	3	0	2	1
RNU5E-4P	0	1	0	1
KIAA2013	4368	5755	7009	6993
PLOD1	35927	35707	51507	49522
MFN2	7256	9587	8362	6806
RP5-1077B9.5	0	0	0	0
MIIP	1198	1345	1439	1433
RN7SL649P	0	0	0	0
TNFRSF8	4	7	7	15
RNU6-777P	0	0	0	0
RP11-426M1.2	0	0	0	0
TNFRSF1B	147	102	36	35
MIR4632	0	0	0	0
RP5-1118D24.2	0	0	0	0
SNORA70	29	50	25	29
VPS13D	6629	5569	3385	2821
SNORA59A	11	13	12	6
RP5-888M10.2	2	1	1	1
DHRS3	4946	4497	3045	3282
RNU6ATAC18P	29	31	9	7
RP11-474O21.5	193	171	29	30
AADACL4	1	0	0	0
RP11-474O21.2	0	0	0	0
AADACL3	0	0	0	0
C1orf158	0	0	0	0
PRAMEF12	0	0	0	0
PRAMEF1	1	0	0	0
RP5-845O24.8	0	0	0	0
PRAMEF11	0	0	0	0
RP5-845O24.3	0	0	0	0
HNRNPCL1	1	0	0	0
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
RNU6-1072P	0	0	0	0
RP11-450I1.2	0	0	0	0
PRAMEF6	0	0	0	0
RP11-450I1.4	0	0	0	0
PRAMEF22	0	0	0	0
WI2-3308P17.2	0	0	0	0
PRAMEF23	0	0	0	0
RP13-221M14.6	0	0	0	0
PRAMEF25	0	0	0	0
RP13-221M14.2	0	0	0	0
RP13-221M14.3	0	0	0	0
RP13-221M14.4	0	0	0	0
HNRNPCP5	0	0	0	0
WI2-2994D6.1	0	0	0	0
PRAMEF26	0	0	0	0
PRAMEF3	0	0	0	0
RP11-248D7.2	0	0	0	0
PRAMEF5	0	0	0	0
RP11-219C24.8	0	0	0	0
RNU6-771P	0	0	0	0
PRAMEF8	0	0	0	0
RP11-219C24.6	0	0	0	0
PRAMEF9	0	0	0	0
RP11-219C24.10	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF16	0	0	0	0
PRAMEF21	0	0	0	0
XX-FW84067D5.1	0	0	0	0
XX-FW84067D5.2	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	0	0	0	0
RP4-597A16.2	0	0	0	0
RP4-597A16.3	0	0	0	0
PDPN	1020	831	89	68
RNA5SP41	0	0	0	0
AL359771.1	0	0	0	0
CTA-520D8.2	0	0	0	0
SCARNA11	0	2	5	2
PRDM2	3095	3119	1782	1490
RNU6-1265P	0	0	0	0
RP11-344F13.1	1	0	0	0
RP4-704D23.1	1	0	0	1
KAZN	767	710	726	625
TBCAP2	0	0	0	0
TMEM51-AS1	9	4	5	3
TMEM51	812	922	879	830
C1orf195	1	1	3	2
RP1-21O18.3	0	0	0	0
FHAD1	52	45	47	31
RP3-467K16.2	3	0	0	1
RP3-467K16.7	2	2	1	1
RP3-467K16.4	25	35	39	61
EFHD2	9075	11516	12221	11981
CTRC	10	13	19	14
CELA2A	0	0	0	0
CELA2B	5	3	1	3
CASP9	586	489	596	578
DNAJC16	1552	2053	1220	1031
SCARNA21	8	13	9	5
RP4-680D5.8	0	1	4	0
AGMAT	201	345	550	482
RP4-680D5.2	10	19	18	16
CHCHD2P6	4	11	13	10
RNU7-179P	0	0	0	0
RP4-680D5.4	0	0	0	1
DDI2	3756	4187	2291	1737
RSC1A1	0	0	0	0
RP4-680D5.9	1	0	0	1
PLEKHM2	5412	5627	5654	5303
AL121992.1	0	0	0	0
RP11-288I21.1	21	34	21	18
SLC25A34	191	193	171	147
RP11-169K16.4	45	68	85	103
TMEM82	7	25	27	24
FBLIM1	6570	6624	9324	8634
RP11-169K16.6	132	317	300	306
RP11-169K16.7	636	818	960	900
RP11-169K16.8	8	3	0	2
RP11-169K16.9	336	384	318	265
SPEN	9872	9835	6366	5025
RP1-134O19.3	1	0	0	0
ZBTB17	1744	1988	2148	2012
RP11-5P18.1	1	2	0	1
RP11-5P18.3	0	0	0	0
TBC1D3P6	0	0	0	0
C1orf64	0	1	0	0
RP11-5P18.5	0	0	0	0
HSPB7	15	24	34	30
CLCNKA	36	34	54	41
RP11-5P18.10	13	6	19	26
CLCNKB	153	90	136	109
FAM131C	130	89	180	190
EPHA2	3248	4034	3762	3178
RP11-276H7.2	12	9	10	10
RP11-276H7.3	3	9	9	2
ARHGEF19-AS1	0	0	0	0
ARHGEF19	540	524	593	588
ANO7P1	78	56	77	72
C1orf134	29	56	93	99
RSG1	135	164	139	187
MT1XP1	8	9	5	8
FBXO42	1989	2774	2373	2065
SZRD1	9237	9866	10406	9439
RP11-430L17.1	4	2	1	1
SPATA21	6	1	1	0
NECAP2	3132	4200	4019	3499
RP4-798A10.2	83	127	105	86
CROCCP3	346	542	395	360
RNU1-1	1	0	0	0
RP4-798A10.7	45	25	32	36
RP4-798A10.4	0	0	0	2
U1	56	41	42	37
AL355149.2	0	0	0	0
RP5-875O13.6	0	0	0	0
AL355149.1	0	0	0	0
NBPF1	1769	2977	2392	2010
RP5-1182A14.5	1	1	0	2
CROCCP2	1892	2191	1594	1338
MST1P2	142	122	147	124
RNU1-3	0	0	0	0
AL137798.1	0	0	0	0
AL021920.1	0	0	0	0
EIF1AXP1	46	64	13	14
ESPNP	6	4	4	7
AL021920.2	0	0	0	0
CROCC	1151	1376	1071	1064
RNU1-4	0	0	0	0
CROCCP4	0	0	0	0
MST1L	13	24	21	19
RP11-108M9.1	0	0	0	0
RP11-108M9.2	0	0	0	0
MIR3675	0	0	0	0
RP11-108M9.4	67	53	85	106
RP11-108M9.5	16	21	28	32
RNU1-2	0	0	0	0
RP11-108M9.6	5	4	7	16
MFAP2	20	18	28	30
RP1-37C10.3	1	1	0	0
ATP13A2	2012	2178	2507	2505
SDHB	6820	7785	7783	6964
PADI2	38	18	47	43
RP11-380J14.1	34	132	71	52
PADI1	150	197	163	138
PADI3	212	114	153	155
MIR3972	0	1	1	0
PADI4	3	3	9	4
AC004824.2	0	0	1	0
PADI6	0	0	0	0
RP1-20B21.4	0	0	0	0
RCC2	12032	13867	11149	9715
AC004824.1	0	0	0	0
ARHGEF10L	1878	1718	1748	1594
RP11-473A10.2	0	3	0	0
ACTL8	5	10	6	4
RP11-174G17.2	0	0	0	0
IGSF21	0	0	0	0
RP11-174G17	0	0	0	0
RP11-422P22.1	0	0	0	0
KLHDC7A	7	0	2	3
RP1-8B22.1	0	0	0	0
RP1-8B22.2	0	0	0	0
PAX7	0	0	0	0
TAS1R2	0	0	0	0
RP13-279N23.2	0	0	1	1
ALDH4A1	597	666	927	896
MIR4695	0	0	0	0
MIR1290	0	0	0	0
IFFO2	1952	1964	1580	1411
RP5-1126H10.2	13	33	54	58
UBR4	23981	24980	17321	14154
AL137127.1	12	20	8	5
RP1-43E13.2	37	46	34	47
EMC1	11787	13785	10715	9403
MRTO4	5067	7718	6946	6756
AKR7L	41	40	34	34
AKR7A3	49	49	71	58
RP4-657E11.10	94	112	27	22
AKR7A2	2890	3481	4399	4511
RNU6-1099P	5	7	7	3
PQLC2	845	1010	1292	1384
RN7SL85P	0	0	0	0
CAPZB	20492	23813	26693	25664
RN7SL277P	0	0	0	1
RNU4-28P	0	0	0	0
RP5-1056L3.1	0	0	0	0
MINOS1-NBL1	0	1	2	0
MINOS1	948	1336	1468	1563
RPS14P3	64	35	31	29
NBL1	1153	1106	1956	2252
HTR6	5	6	3	2
TMCO4	644	692	822	744
RNF186	0	0	0	0
RP11-91K11.2	0	0	0	0
OTUD3	2870	2817	1531	1277
PLA2G2E	0	0	1	1
RN7SL304P	0	0	0	0
PLA2G2A	855	209	58	37
PLA2G5	260	146	48	56
PLA2G2D	0	0	0	0
PLA2G2F	4	1	0	0
RP3-340N1.2	0	1	0	0
PLA2G2C	0	0	2	0
RP3-340N1.5	0	0	0	0
UBXN10	1	0	0	1
RP3-340N1.6	0	0	0	0
VWA5B1	0	0	1	0
RP4-745E8.2	0	0	0	0
RP4-749H3.1	0	1	1	0
RP4-749H3.2	0	0	0	0
CAMK2N1	2287	2495	2983	2791
MUL1	1681	2114	2283	2114
RPS4XP4	1	0	0	0
FAM43B	21	42	83	80
CDA	3346	4170	7056	7074
PINK1	1201	1357	1273	1101
PINK1-AS	238	368	347	312
AL391357.1	0	0	0	0
DDOST	24806	26368	24610	20056
KIF17	19	29	21	11
RP5-930J4.5	0	0	0	0
SH2D5	347	591	336	308
RP5-930J4.2	0	1	0	1
HP1BP3	18504	23954	13145	10271
RP5-930J4.4	0	0	0	0
EIF4G3	11008	11024	7613	5606
RNU7-200P	0	0	0	0
MIR1256	0	0	0	0
RPS15AP6	0	1	5	5
RP11-487E1.2	0	0	0	0
RP11-628K18.1	3	0	0	0
AL031005.1	0	0	0	0
ECE1	14916	14996	17893	15887
RP3-329E20.2	0	3	0	0
RP5-1071N3.1	9	8	16	10
PPP1R11P1	0	1	0	0
RP11-293F5.8	0	0	0	0
RP11-293F5.1	0	0	0	0
NBPF2P	39	42	41	26
HS6ST1P1	0	5	0	0
CROCCP5	0	0	1	0
NBPF3	1040	1198	819	688
PFN1P10	2	0	1	0
ALPL	96	70	26	29
RP11-63N8.3	0	0	0	1
AL359815.1	0	0	0	0
RAP1GAP	156	126	271	226
USP48	8057	9072	6211	4954
RP11-132G19.3	0	0	0	0
LDLRAD2	24	30	25	13
HSPG2	13465	11246	6897	5251
RP11-26H16.1	0	0	1	0
CELA3B	0	0	0	0
RN7SL421P	0	0	0	0
RN7SL386P	0	0	0	0
RNU6-1022P	0	0	0	0
CELA3A	0	1	0	0
RN7SL768P	1	0	0	0
RN7SL186P	0	0	0	0
RNU6-776P	0	0	0	0
RP1-224A6.3	15	13	15	5
LINC00339	1006	884	996	911
CDC42	16770	22447	17780	15395
CDC42-IT1	3	4	0	0
RP1-224A6.8	2	3	0	0
RP1-224A6.9	9	7	8	1
WNT4	20	10	13	12
MIR4418	0	0	0	0
RP11-415K20.1	0	0	1	0
ZBTB40	2492	3034	2278	1942
ZBTB40-IT1	20	18	12	10
EPHA8	1	0	1	1
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0	1	0	1
EPHB2	4336	4822	4596	4121
MIR4684	0	0	0	0
AL611946.1	0	0	0	0
RP11-69E9.1	0	0	0	0
MIR4253	0	0	0	0
RP1-74M1.3	167	94	59	65
LACTBL1	0	0	0	0
C1orf234	11	13	12	14
KDM1A	16677	18174	17856	15997
RP1-184J9.2	2	1	0	1
MIR3115	0	0	1	0
MIR4419A	1	0	1	0
LUZP1	8489	8820	5044	3936
RP5-979D14.1	3	2	0	0
RNU6-514P	0	0	0	0
RNU6-135P	0	0	0	0
HTR1D	151	148	191	175
RP5-1057J7.1	0	0	0	0
RP5-1057J7.6	447	1349	762	721
HNRNPR	20484	26277	16550	11800
ZNF436	1062	1277	1117	911
C1orf213	303	404	579	472
RP5-1057J7.7	0	0	2	0
TCEA3	42	72	71	66
RP4-654C18.1	0	0	0	0
ASAP3	3595	3301	4160	3698
E2F2	1345	2032	2054	1968
RP1-150O5.3	22	28	19	20
ID3	18356	22341	7036	5734
MDS2	1	1	0	1
RP11-223J15.2	0	0	0	1
RPL11	78637	81593	85797	84806
RP5-886K2.1	1	0	0	3
RN7SL532P	1	5	1	4
TCEB3	4572	6126	4927	4126
RP5-886K2.3	103	114	87	82
PITHD1	2597	3077	2537	2462
LYPLA2	3188	3907	4481	4498
GALE	2935	3445	4347	3999
HMGCL	2718	2596	2977	2705
FUCA1	2119	1655	1856	1805
CNR2	2	1	2	0
RN7SL24P	0	0	0	0
RP11-4M23.2	0	0	0	0
RP11-4M23.3	0	0	0	0
MIR378F	0	0	0	0
RP11-4M23.4	1	0	0	0
PNRC2	6763	9470	4996	3867
SRSF10	25472	22874	10806	8477
RP11-4M23.7	0	0	0	0
RP11-293P20.2	3	0	0	7
MYOM3	87	62	78	60
RP11-293P20.4	1	0	1	0
IL22RA1	524	446	656	574
IFNLR1	637	649	558	459
RP11-10N16.2	3	1	3	8
AL590683.1	0	0	0	0
AL590683.2	0	0	0	0
RP11-10N16.3	4	4	1	3
GRHL3	90	27	37	26
STPG1	1189	1169	950	879
NIPAL3	3297	3161	2181	1879
RCAN3	1998	2413	1515	1405
RN7SL857P	0	1	3	2
RP4-594I10.3	0	0	0	0
NCMAP	3	0	0	2
RP11-496D1.2	0	0	0	0
SRRM1	10947	13278	6821	4956
CLIC4	31996	36620	11260	8285
RNU6-1208P	0	0	0	0
RUNX3	2443	2305	1759	1464
RP11-84D1.1	86	61	17	17
RP11-84D1.2	0	0	1	0
MIR4425	4	4	0	0
RP4-799D16.1	0	0	0	0
RP4-781L3.1	0	0	0	0
RP4-706G24.1	0	0	0	0
SYF2	4089	3645	3198	2918
C1orf63	5511	7293	5173	4121
RP3-465N24.6	16	14	10	21
RP3-465N24.5	31	31	15	15
RHD	51	67	28	35
SDHDP6	14	9	5	9
RP11-335G20.7	22	6	4	3
TMEM50A	7796	9529	6958	6181
RNU6-1171P	4	2	0	1
RHCE	46	30	29	29
RP3-469D22.1	3	1	2	1
AL031284.1	0	0	0	0
TMEM57	1649	2001	1525	1410
LDLRAP1	1906	2270	2956	2864
RP11-70P17.1	14	5	11	11
MAN1C1	26	12	34	35
RP1-187B23.1	0	1	4	1
SEPN1	7870	7133	8930	7732
RP1-317E23.6	0	0	0	0
RP1-317E23.3	3	4	8	20
MTFR1L	1855	2071	2204	2044
AL020996.1	12	9	11	9
RP1-317E23.7	0	0	1	3
AUNIP	822	1178	1093	1044
RP1-125I3.2	2	6	3	4
PAQR7	1124	1228	1761	1664
STMN1	31711	39758	40261	37985
SNRPFP2	6	1	2	5
RP1-125I3.4	10	1	1	3
MIR3917	0	0	0	0
AL033528.1	0	0	0	0
PAFAH2	838	1047	830	685
RNU6-110P	0	0	1	0
SCARNA17	10	15	24	17
SCARNA18	11	8	4	1
EXTL1	34	39	38	40
SLC30A2	1	1	0	0
TRIM63	0	0	0	0
AL391650.1	0	0	0	0
PDIK1L	548	541	274	259
FAM110D	2	6	8	9
ZNF593	4	2	1	3
RP11-96L14.7	4	6	2	4
CNKSR1	894	931	1034	1038
CATSPER4	2	2	1	2
RP11-231P20.2	0	0	2	3
CEP85	3684	4448	3829	3221
RP11-231P20.5	14	8	5	9
SH3BGRL3	6737	9382	14249	14904
UBXN11	2020	2099	3446	3323
CD52	1	1	9	5
AIM1L	155	120	155	163
RP11-569G9.7	6	5	1	1
RN7SL490P	0	0	0	0
ZNF683	0	0	0	0
LIN28A	2	1	0	1
DHDDS	2107	2353	2049	1721
RP3-476K8.4	0	6	1	5
RP3-476K8.3	19	18	16	14
HMGN2	33506	45926	44028	40211
DPPA2P2	0	0	0	1
RPS6KA1	4060	4666	5489	5302
