NAME	DESCRIPTION	N4_2	N4_3	N4_4	N7_2	N7_3	N7_4	N9_2	N9_3	N9_4
AASDH	na	308	278	409	459	375	463	489	346	380
SUMO3	na	663	495	785	798	466	706	644	579	496
AFP	na	0	0	1	0	0	0	1	2	0
AFM	na	0	0	0	0	0	0	1	0	0
CASP3	na	1383	1044	1717	2449	1388	2325	1892	1536	1470
CALD1	na	899	581	1005	1636	650	1326	798	724	632
IDE	na	1737	1456	2058	2638	1770	2468	2408	1833	1721
DAXX	na	39	22	50	83	32	59	76	44	38
SGCE	na	191	185	308	574	419	540	497	427	393
HLA-C	na	1357	1127	1676	2741	2574	2429	2711	2728	2051
CNTD1	na	3	2	13	11	13	4	4	6	8
EBAG9	na	226	178	231	339	205	305	352	283	315
IGF1	na	0	0	0	2	3	0	0	0	0
SLC11A2	na	1058	851	1187	1590	1261	1616	1617	1360	1258
CD4	na	1	0	5	1	2	4	0	1	0
RMDN2	na	57	64	77	72	44	67	52	49	36
CENPX	na	851	684	1059	1619	1036	1526	1703	1551	1259
OGFOD3	na	216	173	245	405	318	405	359	323	276
SLC25A39	na	1202	1082	1459	3204	2555	3174	2941	2636	2059
ELP4	na	325	261	307	319	252	344	381	336	274
C2	na	1	2	1	1	0	0	0	1	3
TSNARE1	na	52	46	66	82	100	85	63	54	39
TDRP	na	331	328	403	816	607	844	751	650	541
RAB5C	na	1154	1032	1363	1837	1515	1869	1794	1469	1338
LOC105378591	na	2	3	3	8	5	9	2	2	2
RRAGB	na	201	166	235	261	187	284	259	206	205
ELF3-AS1	na	0	0	0	4	1	3	0	0	0
RDH13	na	1	0	1	0	0	0	2	0	1
ULK3	na	707	616	803	884	675	996	885	849	657
GTF2IP20	na	80	63	122	133	137	124	124	106	95
PRKCZ-AS1	na	6	12	10	9	12	14	7	7	9
MGST2	na	1	0	0	0	0	2	0	0	0
YJEFN3	na	59	51	52	68	57	85	64	59	45
FBXO11	na	728	814	801	1056	1378	1192	1021	914	852
FAAP20	na	352	314	384	536	488	515	541	458	410
ATG16L1	na	1082	1013	1375	1143	873	1281	1389	1309	1138
NFIC	na	874	1126	817	939	2060	1011	921	895	719
PBRM1	na	1573	1415	1724	2873	2235	2781	2462	1957	1851
LOC100129534	na	12	16	15	22	32	23	10	13	15
PRDM15	na	371	430	513	647	533	712	587	537	446
CPA4	na	0	1	4	1	0	0	0	0	0
ADCY3	na	1063	1044	1316	2186	2035	2317	2036	1878	1483
HROB	na	180	157	189	282	305	318	285	255	239
PLCH2	na	0	0	0	0	0	0	0	0	1
CRCP	na	771	561	845	1725	1002	1573	1800	1454	1391
SARS1	na	1608	1260	2077	2334	1634	2492	2384	1974	1979
SORD	na	668	610	750	1091	828	1068	1062	910	803
RMDN3	na	539	431	612	1045	700	1060	1166	990	820
RNF5	na	0	1	0	1	1	1	0	1	0
COPG2	na	370	372	438	347	390	357	598	457	429
EPN3	na	38	32	44	217	227	190	174	156	127
PRDM16-DT	na	1	1	2	28	28	21	42	39	25
BAG6	na	84	65	79	153	185	165	185	174	144
ZNF14	na	381	351	488	442	337	451	403	277	329
MIR4251	na	0	0	0	1	0	1	1	2	1
ADCY6	na	528	492	672	1175	1176	1335	916	982	833
PPP1CC	na	4421	3310	4907	7258	4316	6618	7370	6000	5454
ILF3	na	6510	5969	7369	9647	8206	9681	9352	8351	6908
C19orf44	na	72	86	142	114	158	125	123	124	130
KLF7	na	0	2	1	5	0	1	0	1	0
CHRAC1	na	513	401	593	794	456	715	938	771	698
FOXD3	na	49	40	48	36	32	43	24	33	17
FKBP8	na	2151	1781	2577	3837	3504	3634	3668	3345	2664
BZW1	na	7957	6135	9914	9961	5715	9561	9632	7789	7192
LRRC28	na	171	155	177	200	184	188	200	169	178
MADD	na	679	653	791	1220	1128	1323	1039	967	861
TEK	na	0	0	1	0	1	0	0	0	0
IRS2	na	0	0	0	0	1	0	0	0	0
BOP1	na	1054	857	1203	1815	1289	1916	2140	1934	1482
EXOC6B	na	362	413	414	863	760	743	531	412	366
C19orf18	na	10	21	18	25	24	29	13	12	10
CDHR5	na	0	0	0	0	0	0	0	0	0
INPP5B	na	431	350	592	503	415	555	496	416	382
GLT1D1	na	5	2	0	6	6	2	7	2	0
LINC01134	na	7	9	8	11	15	15	15	11	19
TACC2	na	262	240	279	1512	2152	1585	1730	1599	1265
SHOX2	na	129	116	159	197	140	168	171	152	145
MIR4689	na	0	1	0	0	4	2	0	0	3
EXOG	na	466	433	540	538	379	540	573	436	402
ZNF195	na	872	788	977	1271	1025	1291	1162	973	782
ERICH4	na	0	0	1	0	1	0	0	1	0
NDRG4	na	41	42	44	141	205	160	66	61	68
VRK2	na	696	548	730	830	466	750	775	621	558
CELF2	na	131	179	127	0	0	0	1	1	0
SEC11C	na	197	138	245	308	173	295	278	207	199
ARID3B	na	316	306	356	382	378	390	459	396	326
POF1B	na	23	18	11	3	0	2	2	0	3
TRIM14	na	397	447	487	507	527	561	851	657	583
ARHGEF17	na	507	522	555	906	902	901	782	621	524
ARHGEF11	na	2178	1900	2398	3189	2869	3382	2768	2358	2143
LOC102724450	na	109	91	124	215	141	256	260	262	200
AIFM3	na	1	0	0	3	0	1	1	0	0
IL24	na	0	0	1	3	2	0	0	1	0
SGCZ	na	0	0	3	0	0	0	1	0	0
DMTN	na	0	2	0	4	12	10	7	13	9
LENEP	na	9	6	4	24	19	14	14	3	6
ZNF398	na	765	709	887	649	501	723	1325	1124	965
PNISR	na	3164	2417	3315	4418	2917	4041	4354	3631	3275
ALPK3	na	5	5	3	59	97	60	12	10	8
ALKBH6	na	282	245	357	462	385	446	438	430	323
CTNND1	na	192	171	227	184	189	213	224	172	176
BCL2L13	na	1113	984	1332	1979	1460	1947	2194	1884	1624
DMD	na	3479	3377	3752	3597	2820	3076	3916	3215	2714
MUC4	na	3	0	2	4	1	0	2	3	3
FSCN2	na	6	3	16	22	29	12	7	14	5
EIF4G1	na	7703	6820	9291	12397	10510	12978	12762	11444	10251
PPP2R5E	na	768	818	766	944	1053	996	996	802	740
NAA16	na	663	563	786	1402	914	1337	870	711	664
GPS2	na	843	608	1022	1270	687	1174	1124	1009	798
THAP3	na	176	151	252	257	193	256	256	167	195
DLC1	na	1	2	1	1	0	0	0	0	0
CAMTA1-DT	na	13	11	16	22	16	16	21	11	12
SORBS1	na	11	11	8	32	18	30	45	21	15
STK31	na	0	0	2	1	1	0	0	2	2
CD160	na	11	5	3	62	26	67	73	48	50
ZNRD1	na	4	1	0	2	0	2	3	0	2
RHEBL1	na	55	48	68	91	70	65	92	58	34
RPL10	na	5449	4380	6776	7017	4859	7350	7740	6348	5512
ANK2	na	192	163	254	91	150	140	101	103	106
ROBO4	na	0	0	0	0	0	1	0	0	0
TSEN2	na	431	390	506	596	411	661	769	637	555
USP30	na	120	113	136	133	131	129	172	138	145
KDM6A	na	817	793	966	983	870	923	1026	813	765
PRH1	na	0	0	0	2	1	0	3	0	0
EVX1	na	0	0	0	0	0	0	0	1	0
SLC8A1	na	0	0	2	0	0	0	0	0	0
RCC1	na	1662	1370	1947	2677	1652	2777	3124	2607	2227
GMPR2	na	617	484	758	927	723	956	940	840	812
MMS22L	na	816	719	871	1223	972	1191	1137	950	891
SNX14	na	1348	1080	1571	2982	2142	2893	2313	1801	1714
STXBP6	na	5	8	12	81	66	69	286	280	239
TMCC1	na	279	324	340	524	526	543	488	387	384
TMEM94	na	421	431	428	688	1005	736	631	625	451
LINC01714	na	6	1	1	2	2	5	7	2	4
HNRNPUL2	na	487	401	399	706	582	761	674	553	507
MCC	na	195	197	274	422	372	403	354	269	268
GNB1	na	3486	2950	3825	5821	4753	5715	4921	4025	3847
SLC25A36	na	1311	1122	1409	2056	1505	1917	1888	1676	1472
RERE-AS1	na	0	1	2	1	0	2	1	4	0
SNORD128	na	6	4	4	4	5	5	4	2	3
ANGEL2	na	1094	832	1248	1696	1017	1649	1538	1158	1171
MIR6728	na	9	2	4	10	11	15	8	4	5
ENO1-AS1	na	13	14	16	25	18	29	36	23	19
TMEM51	na	79	68	89	152	120	142	137	96	79
GRAMD1A	na	424	412	510	701	793	701	752	669	533
HSPB11	na	733	542	831	957	444	750	775	577	581
IER5	na	444	287	432	725	383	687	657	545	501
DNAJC27	na	202	162	212	299	271	317	258	212	226
STK26	na	1288	992	1492	1846	1167	1639	1716	1453	1369
SIRT6	na	170	169	192	262	227	262	252	185	188
GPR83	na	1	6	2	1	1	3	4	1	2
MIR34AHG	na	1	0	5	31	13	20	16	18	7
UBE3D	na	87	78	104	87	83	91	121	103	76
LINC02606	na	11	15	15	9	10	18	16	10	9
PIK3CD-AS2	na	0	0	0	1	0	0	0	0	1
TEX264	na	504	415	574	826	668	916	990	846	744
LETMD1	na	512	467	735	949	689	1036	1049	804	856
GLRX	na	451	354	601	939	631	1096	964	801	852
CD2BP2	na	1766	1429	2244	2484	1634	2429	2224	1980	1848
CFL2	na	2611	2232	2887	1118	828	884	2466	1760	1583
IL15RA	na	30	46	53	242	157	233	206	151	165
CEP295NL	na	3	5	5	22	42	20	13	17	10
DPYS	na	1	0	0	0	1	1	0	0	0
PCM1	na	4905	4193	5997	6881	4933	6757	6325	5402	5176
MIR5697	na	1	0	1	0	0	2	1	0	3
ZCCHC8	na	762	633	980	1025	721	1027	950	807	793
INTS11	na	782	727	897	1127	1014	1096	1112	1069	822
POU4F3	na	0	3	0	0	1	3	1	0	0
GRIP1	na	109	101	132	95	52	116	1	0	0
JAKMIP3	na	140	138	173	210	200	214	144	140	140
SPRYD3	na	329	264	326	696	480	610	791	696	609
SRP19	na	857	601	1029	1201	669	1231	1201	947	954
FAM104A	na	630	489	730	972	680	927	936	796	688
OAS1	na	109	84	121	83	112	127	109	100	117
WDR4	na	383	411	456	643	635	724	730	671	599
MESP1	na	12	12	21	20	14	15	35	17	17
PLK5	na	0	0	1	0	0	0	0	0	0
CORO2B	na	4	7	18	47	33	39	8	5	7
SH3BP5L	na	324	287	454	466	463	563	555	529	418
MAPKAPK5	na	841	750	1071	1527	1081	1633	1669	1233	1221
RCHY1	na	992	777	1178	1046	707	991	1292	958	931
PIGQ	na	426	435	450	719	760	651	553	571	398
ESCO1	na	890	773	1023	794	602	771	788	671	587
CBLB	na	159	161	185	284	293	293	61	48	53
GPR63	na	359	393	475	565	451	617	559	487	462
CLPTM1L	na	736	383	609	797	411	793	762	609	590
EXOSC10-AS1	na	21	14	20	45	25	36	28	14	23
IQCE	na	579	530	709	1298	1072	1407	1096	969	856
FAM83A	na	0	0	0	1	0	0	1	0	0
SCN1B	na	35	16	18	69	38	31	22	17	9
MTOR-AS1	na	0	0	0	0	0	0	0	0	1
LBP	na	1	0	0	1	2	0	2	0	0
UBE3A	na	3368	2998	3757	4799	3526	4584	4666	3753	3559
LINC01647	na	0	0	0	1	1	2	0	1	1
ALDH3A2	na	2003	1579	2406	2688	1703	2479	2304	1995	1888
SMPD3	na	1	0	1	3	3	4	2	1	1
USP15	na	1354	1204	1582	1369	1013	1344	1267	1105	988
ZNF587	na	790	657	937	971	769	881	909	663	729
ADD3	na	568	422	581	1365	1079	1224	1625	1347	1157
FBXO44	na	623	518	703	1443	1100	1453	1086	941	805
CAD	na	2653	2925	3140	4074	4789	4893	3915	3931	3220
DGAT1	na	170	168	204	148	168	199	202	198	144
PUDP	na	148	144	183	227	173	206	304	307	222
HOXA5	na	56	39	59	102	76	71	92	98	71
METTL6	na	363	303	496	603	417	598	621	468	484
KYAT1	na	126	108	118	237	223	234	173	154	165
POMZP3	na	0	1	5	38	2	3	4	3	2
CYFIP2	na	664	674	783	545	575	596	498	391	360
CLCN6	na	173	151	179	375	399	352	226	181	180
NPPA-AS1	na	6	6	11	12	8	7	7	5	2
PPIP5K1	na	172	224	243	265	286	328	252	231	206
RNU5E-1	na	167	95	151	277	100	192	219	99	102
TAF1B	na	238	229	255	392	282	387	385	347	294
GLIS2	na	17	25	7	38	52	32	24	14	2
CTNS	na	217	203	277	342	257	384	370	293	289
CTH	na	36	22	35	35	25	31	33	15	30
FCER2	na	0	0	0	13	10	8	1	1	1
VPS8	na	685	639	743	769	626	725	851	662	640
GUCY1A1	na	81	81	110	517	302	590	430	327	342
SIPA1L1	na	764	813	802	1532	1541	1658	1728	1404	1276
ESRP2	na	1	1	0	1	0	1	1	2	1
CFAP70	na	12	15	13	45	28	37	16	18	19
CPEB1	na	79	80	146	194	131	144	162	148	88
SPHK2	na	235	187	269	277	240	298	290	226	209
MIR6730	na	7	6	7	6	14	11	9	4	7
IRF3	na	705	628	908	1278	1023	1381	945	870	789
BRWD1	na	3694	3263	4132	4717	3324	4693	4019	3220	2986
THAP8	na	35	26	35	48	51	54	43	26	39
TMEM91	na	43	43	66	53	43	68	50	43	41
MFSD11	na	186	169	257	352	236	329	420	323	283
AFF2	na	5	2	2	2	1	5	0	0	0
SS18L1	na	510	479	550	723	708	779	775	667	565
NFKB2	na	567	512	646	602	594	643	685	596	539
MAGEA4	na	0	0	0	2	1	0	1	2	2
POLD2	na	1376	1230	1684	2592	2061	2577	2546	2133	1859
ZNF562	na	1326	1141	1721	1698	1138	1686	1591	1180	1223
MTHFD1L	na	1426	1291	1743	2020	1781	2295	1813	1471	1414
GLMN	na	777	696	967	823	520	821	831	705	666
C15orf40	na	366	238	425	579	314	658	588	456	409
CYB5D1	na	603	516	762	909	633	990	1006	938	927
DENND3	na	69	56	76	136	125	120	79	70	62
ZNF628	na	102	59	103	115	89	83	132	109	91
RRP36	na	1458	1092	1637	2173	1358	2026	2100	1568	1501
PTPRR	na	0	0	0	0	2	4	0	0	0
TMEM51-AS1	na	18	20	18	42	81	53	25	23	28
MTMR9	na	781	656	970	1159	792	1107	1033	739	793
FXYD6	na	15	23	24	24	18	27	25	16	17
C1orf195	na	0	0	0	0	0	1	0	1	0
SLC5A11	na	1	3	2	2	4	4	5	4	2
PRMT7	na	928	788	1120	1377	1024	1479	1444	1190	1022
HSPA12A	na	163	160	180	175	161	156	82	111	97
RIMS2	na	523	604	539	1060	1093	981	909	837	677
DNAJC16	na	572	550	652	976	828	939	846	690	717
SCARNA21B	na	3	2	5	3	3	6	1	0	3
CBFB	na	3067	2355	3539	5821	3326	5519	4931	4255	3887
ZNF532	na	0	0	0	1	0	4	0	1	0
ZNF333	na	82	63	90	118	88	135	105	94	96
FLJ37453	na	62	54	86	104	89	130	107	101	86
ZEB1	na	493	422	497	550	369	481	582	551	501
KLRD1	na	1	1	0	1	0	1	0	1	1
DTNA	na	0	0	0	0	0	0	0	0	0
ABLIM1	na	1251	1140	1408	2081	1909	2328	2155	2009	1819
PAN3	na	382	410	376	540	542	492	463	376	381
IP6K2	na	1463	1100	1731	1905	1250	1887	1831	1466	1296
ZNF200	na	369	314	429	589	431	632	524	437	443
FCMR	na	0	0	2	1	1	0	0	0	2
MYO19	na	78	8	29	17	19	21	22	12	95
ATP6V0A1	na	801	867	963	988	1054	1064	1133	1060	954
PACC1	na	327	302	454	566	359	558	482	392	376
TPTE2	na	1	3	0	0	3	1	0	0	2
RCN2	na	1940	1434	2001	3464	1967	3111	2399	1942	1776
SOX6	na	3	4	7	8	12	8	7	6	10
SMDT1	na	0	0	0	1	0	0	0	0	0
CHURC1	na	615	473	799	900	578	940	765	602	573
C22orf23	na	9	2	15	23	15	29	20	16	13
ASH1L	na	2971	3217	3164	3968	4071	4047	3794	3354	2854
ZNF561	na	606	520	691	851	627	817	911	722	683
C1orf158	na	0	1	1	0	0	0	0	0	0
PKIB	na	6	12	17	117	73	102	43	34	48
SREK1	na	2030	1513	2151	2837	1543	2527	2513	1911	1770
PET100	na	527	359	615	697	318	579	745	625	586
SPATA21	na	1	0	2	1	2	1	2	0	3
TAFA4	na	2	0	2	6	2	5	0	0	1
ZSWIM2	na	66	57	68	79	59	74	76	75	59
ZNF454	na	0	0	2	2	0	2	0	0	0
NECAP2	na	366	259	407	596	438	532	439	372	350
LINC01772	na	4	9	15	15	15	11	10	11	9
CROCCP3	na	177	170	249	299	353	318	207	176	192
LINC01783	na	77	69	104	91	50	87	94	53	60
MIR3675	na	2	1	3	3	3	4	3	3	1
ADAMTS4	na	3	6	3	16	22	14	4	7	2
IMPA1	na	564	440	621	664	437	565	723	585	515
IFI27	na	0	1	1	0	0	0	0	0	0
CROCCP2	na	279	249	389	415	365	446	462	434	337
MST1P2	na	28	26	29	56	53	40	42	47	44
LOC105376805	na	0	2	2	1	0	0	0	0	0
DOCK5	na	510	605	627	531	555	511	360	318	297
STX7	na	703	609	828	1006	593	877	694	550	526
ZDHHC21	na	1365	1168	1432	1633	1237	1571	1256	1024	946
TJP1	na	186	206	119	131	176	114	227	240	147
SNORD73B	na	21	15	17	42	11	29	33	28	20
GOLGA8T	na	0	0	0	0	1	0	0	1	1
RPS18	na	8	3134	6899	15	7442	7595	5982	8	6766
CDKN2A	na	80	81	110	186	123	156	233	213	172
KCNJ12	na	35	29	42	9	5	11	34	18	16
PRPF31	na	11	8	7	11	6	4	4	8	5
CYP20A1	na	774	654	1056	930	483	931	906	624	723
ABCF1	na	2	0	1	2	1	0	0	32	1
CLTB	na	813	640	938	1785	1301	1658	1922	1850	1568
KDM4B	na	165	151	181	338	462	357	273	266	229
ASB13	na	694	617	914	1160	889	1259	1373	1093	1022
ARHGEF10L	na	147	154	204	251	331	299	221	193	171
FAM168B	na	4585	3998	5527	5817	4238	5656	5055	4606	3858
ODR4	na	938	825	1217	1284	800	1104	1224	976	947
SLC48A1	na	590	521	793	650	502	600	444	387	363
SPDEF	na	1	0	2	6	7	4	1	0	1
PRXL2B	na	3	2	35	7	2	3	73	5	2
FUZ	na	25	19	21	18	22	22	20	14	14
LARP4	na	1693	1619	2101	2444	1933	2711	2571	2250	2067
USP19	na	1133	926	1306	1634	1357	1713	1536	1420	1173
EMC1-AS1	na	18	18	23	20	14	28	16	15	18
CD79B	na	0	0	1	2	2	0	0	0	3
TGFBRAP1	na	868	849	1076	817	689	745	771	659	601
SNRPE	na	2604	1914	3089	3880	1878	3617	3960	3131	2918
TNR	na	0	0	0	1	0	0	0	0	1
SYT17	na	1	0	0	2	0	1	0	0	0
HMBOX1	na	167	247	197	273	447	347	246	236	191
AKR7L	na	39	52	59	107	79	70	97	64	40
GPM6A	na	4	5	4	6564	4003	6033	4278	3464	3051
PEX5L	na	0	0	1	0	0	3	0	0	0
LOC100506730	na	73	59	70	156	136	144	110	98	93
HERC4	na	587	544	717	870	737	973	877	674	711
GOLGA8R	na	0	2	0	1	0	0	0	2	0
ACBD5	na	805	648	982	1208	870	1073	1232	984	883
VAMP7	na	3	2	2	172	2	86	209	59	4
GPANK1	na	2	0	1	0	0	0	1	1	1
DMAC2	na	425	379	480	627	451	594	531	493	394
LOC105378614	na	0	0	0	0	0	1	1	1	1
MICOS10	na	401	271	395	714	403	790	770	626	542
LINC00339	na	116	104	211	308	241	321	296	251	214
NOL11	na	2007	1578	2363	3019	1833	2937	3287	2620	2395
RPS14P3	na	20	21	29	37	25	40	31	31	21
ZNF33A	na	1176	993	1484	1996	1529	1945	1964	1433	1497
RPL28	na	4586	3365	4591	7186	5083	7100	6989	6220	5160
TIMM10	na	509	387	636	854	549	910	854	759	678
CD36	na	331	229	262	1499	1173	1396	1223	1218	936
MARCHF1	na	0	1	0	0	0	2	0	2	0
NPLOC4	na	2190	1914	2428	3548	3296	3631	3590	3279	2761
PHACTR4	na	795	783	794	1248	1153	1069	1086	880	860
TMCO4	na	113	91	142	192	177	200	203	152	148
RPL3	na	11028	8792	13223	16696	13527	17784	17055	14018	12809
ZNF414	na	90	65	98	126	116	127	142	135	116
PAAF1	na	271	224	312	392	349	417	442	330	334
ZC3H14	na	1761	1463	2037	2214	1622	2134	2184	1957	1663
ZBTB8OS	na	583	451	693	865	464	733	828	659	612
GRB7	na	206	166	204	311	339	264	251	186	154
LINC01141	na	0	0	0	0	0	0	0	0	1
PINK1-AS	na	297	235	372	428	269	375	405	318	305
PHB	na	2455	1951	3119	4008	2564	4027	3827	3436	2987
PGM1	na	766	629	863	1736	1389	1628	1613	1401	1248
TMEM259	na	1213	1211	1337	1567	1401	1404	1509	1506	1053
RHNO1	na	751	558	925	1020	709	938	1116	894	842
GTF2H2	na	18	6	14	15	17	28	27	21	24
HLA-DOB	na	0	0	0	0	0	1	0	1	0
C1orf43	na	2074	1811	2702	3952	2611	3954	4013	3368	3121
ATP7B	na	91	94	101	251	260	302	174	179	142
CERS3	na	0	2	0	0	1	1	0	0	1
ZMAT5	na	155	136	203	155	127	167	218	189	182
NIFK-AS1	na	119	87	131	99	76	102	98	73	85
ABHD16A	na	0	0	0	0	0	1	0	0	0
MIR1256	na	0	1	2	2	3	2	4	2	2
ASCC1	na	412	348	479	604	503	617	620	492	458
ANXA8	na	1	3	1	1	3	3	0	3	0
ODF2L	na	754	655	785	1085	876	955	934	718	668
OSBPL2	na	296	241	411	719	549	645	561	512	453
CHODL	na	1	1	2	6	4	13	2	11	5
KCTD10	na	743	720	923	1113	946	1034	1292	1100	1034
POGLUT1	na	343	265	434	470	292	449	502	447	379
ORC6	na	1318	986	1531	2068	1059	1842	2165	1662	1483
GNMT	na	1	1	0	1	0	2	0	0	0
BBS9	na	179	141	218	195	200	184	164	117	133
PRRT3	na	307	291	383	512	472	556	483	385	342
FBXO21	na	971	810	1152	1224	966	1200	1370	1091	958
CSF2RA	na	0	0	0	0	0	0	0	0	0
COBLL1	na	266	239	250	422	346	471	252	184	159
FILIP1L	na	6	1	7	5	1	0	11	6	5
ENTPD1	na	1	6	0	2	0	1	4	1	1
DDR1	na	37	65	65	86	102	91	98	73	78
ANKRD30B	na	2	1	1	2	3	1	9	5	9
SUCLG2	na	1173	1099	1434	1981	1451	1876	1930	1427	1282
ACHE	na	11	18	14	5	5	11	8	8	10
DDO	na	1	4	8	12	13	9	10	8	7
FCGR2A	na	6	9	4	2	5	9	7	4	6
TAF15	na	5	66	134	72	97	10	10	5	73
ZNF174	na	276	229	348	402	340	482	388	360	323
NHEJ1	na	551	517	707	605	402	589	614	485	438
PIP4K2C	na	533	506	618	746	747	791	746	618	562
PEAK1	na	376	465	418	684	872	636	575	542	462
EPS8L1	na	35	23	46	65	33	40	162	140	157
EFCC1	na	0	3	2	0	0	0	0	0	0
ZNF552	na	234	183	323	257	206	277	260	213	234
AGMAT	na	2	1	1	1	0	0	1	0	2
EHMT1	na	1627	1487	1894	2955	2655	3003	2224	1782	1637
MMRN2	na	786	857	1087	1424	1578	1608	1600	1540	1267
VASH2	na	132	134	117	315	363	306	199	148	156
LINC01635	na	7	5	5	14	10	10	11	14	7
BCAP29	na	29	33	33	45	28	21	33	24	25
SENP1	na	876	773	981	657	644	702	692	602	540
SUN1	na	2110	1800	2290	4428	3725	4215	3377	2807	2421
KMT5A	na	835	628	859	1586	1004	1425	1485	1129	1032
ZBTB40	na	813	849	999	1279	1222	1391	1191	1159	896
IGSF11	na	2	0	1	12	5	4	1	0	2
TUBB	na	513	422	586	698	450	625	723	587	489
CALCOCO1	na	148	119	190	165	131	154	168	143	140
FLRT3	na	2	0	1	1	1	2	0	0	0
HCN3	na	0	1	3	1	27	3	5	7	3
MARCHF6	na	1837	1918	1858	2447	2652	2687	2789	2466	2204
BASP1	na	77	71	82	16	10	10	1	0	0
PCGF3	na	808	691	955	1116	811	1142	1020	815	748
CNKSR1	na	13	14	8	22	10	26	20	9	13
GCK	na	0	0	0	2	0	0	0	0	0
LPGAT1	na	2407	1951	2763	3682	2392	3391	3279	2625	2433
RNF10	na	1164	1006	1501	1616	1477	1678	1490	1230	1248
KBTBD11	na	6	5	8	5	6	5	10	8	6
SEC16A	na	1644	1960	1838	2252	3074	2375	2168	2110	1734
MIR3115	na	0	2	0	0	4	6	0	4	3
IKBKB	na	370	363	430	683	561	672	636	518	446
PSME3	na	2051	1911	2229	3082	2559	2917	3276	2813	2459
